iter	RMSE
0	0.9138968849
1	0.8749775631
2	0.8390210462
3	0.804640093
4	0.7713233242
5	0.7413508014
6	0.7125577837
7	0.6853056584
8	0.6600732899
9	0.6366624053
10	0.6147598422
11	0.5935704428
12	0.5738741208
13	0.5555073625
14	0.5386237616
15	0.5223316886
16	0.5074810096
17	0.4934111791
18	0.480457015
19	0.4676307803
20	0.4561108074
21	0.4460527092
22	0.4365417843
23	0.427324313
24	0.41819229
25	0.4098384876
26	0.4025849125
27	0.3957511299
28	0.3894920574
29	0.3832286075
30	0.3775087145
31	0.3720478889
32	0.3674267452
33	0.3621093014
34	0.3577258808
35	0.3540469593
36	0.3503142841
37	0.3468751726
38	0.3433004907
39	0.3397356482
40	0.3367788471
41	0.3338777769
42	0.3309263593
43	0.3285799614
44	0.3263388002
45	0.3241287214
46	0.322228054
47	0.3205228295
48	0.318264072
49	0.3164689725
50	0.3149757102
51	0.3132442186
52	0.3118984148
53	0.3105844011
54	0.3091195013
55	0.3080583593
56	0.3069270141
57	0.3057785272
58	0.3043809318
59	0.3033369752
60	0.3024299131
61	0.3011791859
62	0.3001988333
63	0.2989213419
64	0.2980979021
65	0.2972861319
66	0.2966469217
67	0.2957209311
68	0.2951788996
69	0.2943743753
70	0.2937930547
71	0.293285224
72	0.2926606846
73	0.2922029245
74	0.2914090511
75	0.2909730671
76	0.2902980627
77	0.2896894297
78	0.2892564658
79	0.2887205363
80	0.2881993342
81	0.2877991924
82	0.2874072252
83	0.2870018298
84	0.2867274814
85	0.2864662267
86	0.2860590311
87	0.2857464307
88	0.2856135377
89	0.285313601
90	0.2850130314
91	0.2848317301
92	0.2845499618
93	0.2843265525
94	0.284122753
95	0.2838884414
96	0.2835005484
97	0.2832594054
98	0.283086882
99	0.2827411427
100	0.2825532086
101	0.2823440209
102	0.2821234557
103	0.2819673074
104	0.2817796065
105	0.2815201262
106	0.2814544717
107	0.2808627164
108	0.2806725631
109	0.2805179446
110	0.2801572327
111	0.2800546686
112	0.2798972913
113	0.2797590227
114	0.2795876048
115	0.2794999132
116	0.2793576819
117	0.2792015212
118	0.2790482269
119	0.2788490648
120	0.2786523079
121	0.2784739857
122	0.2782242678
123	0.2780034913
124	0.2779040467
125	0.2776973166
126	0.2775651348
127	0.2774839372
128	0.2774310486
129	0.2772858896
130	0.2771540621
131	0.2770333086
132	0.2769383887
133	0.2767171955
134	0.2766390686
135	0.2765423414
136	0.2761819189
137	0.2759859618
138	0.2757065204
139	0.2755665842
140	0.275477581
141	0.2752865791
142	0.2748841432
143	0.2746466267
144	0.274123456
145	0.2738596687
146	0.273568758
147	0.2734575877
148	0.273396106
149	0.2732945068
150	0.2729137476
151	0.27268054
152	0.2726251312
153	0.2725863619
154	0.2724928503
155	0.2724175649
156	0.2723347232
157	0.2721865734
158	0.2720405309
159	0.2719321292
160	0.2718011655
161	0.2717428681
162	0.2716224608
163	0.2712555066
164	0.2710351626
165	0.2708607928
166	0.2704644991
167	0.2704334262
168	0.2702287761
169	0.2700748432
170	0.2699114239
171	0.2697743766
172	0.2695567421
173	0.2695120932
174	0.2692437246
175	0.2691972568
176	0.2691439662
177	0.2691007377
178	0.2689260573
179	0.2688896574
180	0.2684508167
181	0.2684180878
182	0.2680071004
183	0.267751654
184	0.2673029171
185	0.2672744471
186	0.2672456735
187	0.2672186872
188	0.2671943383
189	0.2671584186
190	0.2671283049
191	0.2670946843
192	0.2670655277
193	0.2668261516
194	0.2667988014
195	0.2663882236
196	0.2661758971
197	0.2659065837
198	0.2658821923
199	0.2656602138
200	0.2653814172
201	0.2653546766
202	0.2651212132
203	0.2649554549
204	0.2649304639
205	0.2646338911
206	0.2646114491
207	0.264421353
208	0.2644005732
209	0.2641395648
210	0.2639559105
211	0.2637147652
212	0.2634531848
213	0.2630933725
214	0.2629322841
215	0.2629123014
216	0.2626649189
217	0.2626272145
218	0.2624305154
219	0.2621924897
220	0.2619691934
221	0.2619466784
222	0.261916825
223	0.2616924458
224	0.261437157
225	0.2613354878
226	0.2611664995
227	0.261147697
228	0.2611298907
229	0.2608580147
230	0.2608311345
231	0.260693237
232	0.2605049699
233	0.2603498252
234	0.2603329046
235	0.260308455
236	0.2601382717
237	0.25996566
238	0.2597756343
239	0.259620035
240	0.2596043052
241	0.2593968817
242	0.2592090556
243	0.2591923697
244	0.2589756369
245	0.2588145374
246	0.2586822835
247	0.25863808
248	0.258527334
249	0.2584972133
250	0.258481053
251	0.258209263
252	0.2580400802
253	0.2578971347
254	0.2577320704
255	0.2577178807
256	0.2574202548
257	0.257405027
258	0.2572295989
259	0.2572143306
260	0.2569629295
261	0.2567844827
262	0.256571692
263	0.2564064486
264	0.2562601635
265	0.2559919123
266	0.2557150474
267	0.2554554825
268	0.2554133592
269	0.2552967476
270	0.2551067785
271	0.2549149059
272	0.2546764338
273	0.2546623554
274	0.2546486677
275	0.254513025
276	0.2543505428
277	0.2541027877
278	0.2540889747
279	0.2540760316
280	0.253836525
281	0.2535792931
282	0.2535383585
283	0.2533708426
284	0.2533567751
285	0.2531432
286	0.252995804
287	0.252983382
288	0.2528514751
289	0.252713864
290	0.2527023399
291	0.2524918621
292	0.2523489171
293	0.252169375
294	0.2520730606
295	0.2519358509
296	0.2518200595
297	0.2516950875
298	0.2515234792
299	0.2514505321
300	0.2513246912
301	0.2512040874
302	0.2510554042
303	0.2510459732
304	0.2510350784
305	0.2508779586
306	0.2507049555
307	0.2506304445
308	0.2505109573
309	0.2504022082
310	0.2502767201
311	0.250266014
312	0.2500905964
313	0.2499400839
314	0.2497635557
315	0.2497528928
316	0.2497438352
317	0.2496428411
318	0.2493901325
319	0.2491709776
320	0.2490694146
321	0.2489970408
322	0.2488169075
323	0.2487140643
324	0.2485235805
