properties.name;properties.route_ref;latitude;longitude
Càmping Vilanova Park;;1.6905637;41.2317917
Rambla del Garraf amb Osona (Vilanoveta);;1.7488953;41.2350103
Pg. de Colom-Pl. Portal de la Pau;N0;2.178141;41.3758023
Rda. de la Torrassa - Riera Blanca;LH1;2.1292237;41.3705
Casanova - Hospital Clínic;59 63 N7;2.1525394;41.3903935
València - Comte d'Urgell;H10 109;2.154467;41.3860643
Berlín - Numància;54 66;2.1386111;41.3829839
Acàcies - Oms;SB3;2.019788;41.3515933
Major de Sarrià - General Vives;130;2.1171394;41.4034319
Llinars - Santander;11 V33 N8;2.2072549;41.4347527
Port Vell;V17;2.1834911;41.3771829
Indústria - Freser;H8 117 192;2.1817471;41.4152091
Av. Ciutat de l'Hospitalet - Ave Maria;EP1;2.0974012;41.3696131
Enrique Tierno Galván - Lleialtat;;2.0932575;41.3738356
Av del Parc - Bonavista;67 L46 L74;2.0761791;41.3596293
Creu Coberta;;2.1438519;41.3752392
Diagonal - Manuel Ballbé;67 M14;2.1101111;41.3839574
Pompeu Fabra;;1.8218083;41.7255289
Viladomiu Vell;;1.8841887;42.0118078
el Guixaró;;1.8855498;41.9962829
Caixaforum - Pabelló Mies Van Der Rohe;;2.149841;41.3710449
Poble Espanyol;;2.1457195;41.3690483
Anella Olimpica;;2.1530565;41.3661803
Av Miramar - Escoles del Bosc;55 150;2.1619252;41.3688371
Pg de Santa Madrona - Font del Gat;55;2.1579799;41.368438
Foc - Sot del Migdia;13 125;2.150182;41.3598713
Jocs del 92 - Pierre de Coubertin;23;2.1466797;41.362874
MNAC;;2.1520257;41.3684826
Museu d'Historia de Catalunya;;2.1833114;41.3808808
Paral·lel - Cabanes;21 D20 H14 V11 88 89 N0 N6;2.1706439;41.3748467
Plaça Barona;L95 E95 E97;1.9868931;41.2814504
Ctra. Aeroport, s/n;46;2.0719006;41.3033067
Antic Camí Ral de València;CF1 L99 E95 N16 N19;1.9866915;41.2809089
Passeig del Ferrocarril;CF1;1.9859144;41.2817212
Av. Primer de Maig - Rbla. Josep Tarradellas;E97;1.9760092;41.2829267
Ctra. Vila - Ctra. Viladecans;L80 L99 VB4 N19;2.034175;41.3002217
Pl. Catalunya - Portal de l'Àngel;55 59 H16 V15 N4 N8 N12 N15 N28;2.1708651;41.3865666
Ctra. de St. Feliu - Granja Mallorca;340;2.2463286;41.6623066
Les Escoles;567 576;2.4433275;41.698167
Port Olimpic;99 100 N6 N28;2.1972519;41.3881251
Pg. del Pitort - Campus PMT;L99 N19;1.9834424;41.2726331
Cúbic;L82 L85 VB1 VB2 X84;2.0250509;41.3145566
Parc de Can Palmer;E86;2.0082388;41.3106074
Parc de Can Palmer;L86 L87 VB2;2.008519;41.310603
Navàs;L0393;1.8786889;41.9020212
Sallent Sud;;1.8962702;41.818001
Pl. Joan XXIII;CF1 CF2;1.9819602;41.2857767
Plaça Can Roca;CF1;1.9711206;41.2830072
Riera Blanca - Trav de les Corts;52 N3;2.1215576;41.3760326
La Granota - Benzinera;e9 260 722;2.1201515;41.7568862
El Perer (Club de Golf);e9;2.1560681;41.7066955
Plaça Dr. Robert (Ajuntament);e9 260 340;2.1647438;41.6881339
C-59 - Prats de Baix;e9 260;2.1638212;41.6686877
Passeig del Remei - Càmping;;2.1600352;41.6419868
