Centro_comercial,longitude,latitude
Màgic Badalona,41.4434074013399,2.22999652264221
Centre Comercial Diagonal Mar,41.4098141010917,2.21662537541216
,41.4059453621183,2.19219405439164
Glòries,41.4053413501482,2.19132106142703
Maremagnum,41.3752102656123,2.18286948935715
El Corte Inglés,41.3873180479988,2.1280735421982
Arenas de Barcelona,41.3763067073331,2.149312236721
Comerco,41.9415392848143,2.25269736126128
Barnasud,41.2955966750905,2.00757977419452
Llobregat Centre,41.3578001317196,2.06677197950811
Centre Comercial Parc Vallès,41.5455407160196,2.02582015981518
La Maquinista,41.4406008746629,2.19818843780219
Centre Comercial Can Cuyás,41.4632615877351,2.17069797742956
Montserrat Centre Abrera,41.5070732189647,1.90265438656402
Carrefour Planet,41.5193635932598,2.42186223216122
Carrefour,41.5650308339585,2.03703507115555
Mataró Parc,41.5550479497824,2.43420171648201
Carrefour,41.5416955804053,2.04371347101789
Centre Comercial SOM Multiespai,41.4352333285824,2.18089263972712
El Corte Inglés (Can Dragó),41.4362390370893,2.18144950546782
la Farga,41.3625656633277,2.10508867405504
Centre comercial Sant Cugat,41.48277556448,2.05311935279955
Centre Comercial Baricentro,41.5082709078959,2.1382462785523
Altrium,41.681397572375,2.48884489526347
Splau,41.3473653119291,2.07793354122312
Alcampo Sant Quirze,41.5288731198597,2.08982818285182
Galeries,41.5092798165107,2.11305744157669
El Corte Inglés,41.5545632483201,2.09844545886057
Mira-sol Centre,41.4696967839476,2.06151208303687
la Roca Village,41.6108227441924,2.34378033132021
Espais Susanna,41.6368606483148,2.71731171565657
Mercat de la Masuca,41.5780576473188,1.62448732904313
"Centre Comercial ""La Vailet""",41.3979217675869,2.01074583600714
,41.5482205705807,2.20365556622319
Gran Via 2,41.3588211253833,2.12954709576297
Centre Comercial Cornellà,41.3547628828429,2.08816684874649
Autoexit,41.4943149805005,2.15564397838581
El Centre de la Vila,41.3909574728901,2.19779846155942
Centro Comercial Ciudad Puente Real,10.1562215254442,-64.6977501147088
