Cinema ,longitude,latitude
,41.5538863100094,2.40113099165395
Ocine Granollers - El Nord,41.6098125833662,2.30205230194466
Cinema Bosque,41.4015536346475,2.15158528602059
Filmoteca de Catalunya,41.3785331893858,2.17094069312634
Cinemes Imperial,41.5411053515965,2.11250588546812
Renoir Floridablanca,41.3818602293826,2.16232736525241
Cinema Capri,41.3256233434894,2.09537208251277
el Vigatà,41.9310571785605,2.25145357372138
el Retiro,41.2366358825365,1.81083210362837
Casino Prado,41.2380773392298,1.81054114280367
Cinemes Can Castellet,41.3454605488966,2.04045655847161
l'Esbarjo,41.6397115458973,2.35633770204675
Yelmo Abrera,41.506794678252,1.90267705576665
,41.479835715393,2.32004366878622
Cines Verdi Barcelona,41.4040146,2.1568811
Verdi Park Barcelona,41.4043891,2.1576461
CINESA 3D Parc Vallès,41.5469548,2.0248621
Cinemes Montcada,41.4948266,2.1805748
CINESA Porta,41.4354074,2.1805915
OCine Badalona,41.4437406,2.2304798
Cinesa Diagonal,41.393745,2.1363579
Glòries Multicines,41.4053714,2.1928801
Comedia,41.3893894,2.1675802
Cinemes Sant Cugat,41.4695039,2.0901165
Yelmo Cines Castelldefels (Anec blau),41.2820671,1.9858022
Gran Sarria Multicines,41.3945822,2.1340836
Cine Eix Macià,41.5561883,2.0970293
OCINE Sant Celoni,41.6815096,2.4885283
Cinemes Full HD,41.3472395,2.0790663
Cinesa,41.2950121,2.0079271
Cinema Bages Centre,41.7241046,1.8469001
Cinema Catalunya,41.5632225,2.0109837
Cinemes Girona,41.3996133,2.1646019
Sala de Cinema. ETC,41.5027948,2.1046527
Cinemes Boliche,41.3952918,2.1536309
Balmes Multicines,41.4071913,2.1386401
Ocine - El Nord,41.6098501,2.3021682
multicines El Sucre,41.9254893,2.2463998
Phenomena,41.4090866,2.1718056
Espai Texas,41.4020472,2.1636355
Zumzeig,41.3773203,2.1450266
Odeon Multicines,41.2415975,1.7271383
Cinema Maldà,41.3832363,2.1739003
Arenas de Barcelona,41.3763433,2.1490436
Filmax Gran Via,41.3583166,2.1283735
Aribau Multicines,41.3861016,2.1625633
Espai Plana de l'Om,41.7238213,1.8245366
Cinema 5D,41.6373318,2.7287016
YELMO CINES 3D,41.5084894,2.1370817
CineBaix,41.3819167,2.0448757
CINESA 3D La Maquinista,41.4393801,2.1984101
Cine Alhambra,41.686061,2.2855504
Cinema La Calandra,41.4799319,2.3199901
super Cines Puente Real,10.1559168,-64.6973896
Yelmo,41.4832299,2.0537817
,41.4244728,2.1194501
Teatre Principal,41.2254419,1.7238624
Teatre Círcol Catòlic,41.2246088,1.7253839
Cinesa,41.4102196,2.2165527
Foment Mataroní,41.5409331,2.4446684
Cinema Edison,41.6073563,2.2823976
Sala Mozart,41.6141803,2.6603291
Kinepolis,41.5550521,2.4334141
Kinepolis,41.5550521,2.4334141
