properties.name;latitude;longitude
Institut Verdaguer;2.1870282;41.3874002
Escola Catalunya;2.2267325;41.4243809
Escola Galileo Galilei;2.0866035;41.3238587
Col·legi Ribas;2.0360233;41.4883492
Escola Jungfrau;2.243099;41.4517051
Escola Joan Miró;2.224811;41.4495206
Escola Mercè Rodoreda;2.2316478;41.4491609
Institut Front Marítim;2.2087131;41.4026579
Escola L'Arenal de Llevant;2.209221;41.4029461
Escola Superior d'Hosteleria de Barcelona;2.2114266;41.4043337
Centre Escolar San Francisco;2.2003614;41.4166338
Escola Catalònia;2.2008265;41.4125448
Joan Roca Guipúzcoa;2.1935373;41.4140759
la Sagrera;2.1925452;41.4013096
Jesuïtes Clot - El Clot;2.1910407;41.4128888
Sant Antoni Maria Claret;2.166545;41.4059237
Escola 30 Passos;2.1921687;41.4242914
Col·legi d'Educació Infantil i Primaria Fluvià;2.2073913;41.4072259
Institut Caterina Albert;2.1827543;41.410108
Escola Els Horts;2.200984;41.4246218
Escola Serra de Marina;2.2138368;41.4517337
Hamelin-Laie International School - Grup Sas;2.2900541;41.4741402
Col·legi Asunción de Nuestra Señora;2.2003258;41.40247
Escola L'Esperança;2.2010097;41.4468897
Escola Mas Casanovas;2.170625;41.4133488
CEE Sant Joan de la Creu;2.1694776;41.4602427
Escola Mestre Enric Gibert i Camins;2.1854689;41.4313183
Centre d'Estudis Jaume Balmes;2.1096998;41.35543
EOI de Barcelona - Drassanes;2.1735082;41.3769496
Institut Milà i Fontanals;2.1672924;41.3763524
Escola Parellada;2.0472726;41.3423528
Institut Leonardo da Vinci;2.0737752;41.4817142
Escola Pins del Vallès;2.0754659;41.4824782
Institut Salvador Espriu;2.1876885;41.4054799
English School;2.1427634;41.4186679
Escola El Carmel;2.1538154;41.4235805
Institut Escola Trinitat Nova;2.1855757;41.4484577
Escola Sagrada Família - Horta;2.161437;41.4264573
Escola Pere de Tera;2.2137496;41.4396838
Escola Àngel Guimerà;1.9661862;41.444905
Institut - Escola Torrelles (edifici groc);1.9868462;41.3597838
Escola Verns;2.2004699;41.4198502
Institut Escola Pere Lliscart;2.111161;41.3744653
Escola Sant Ramon Nonat - Sagrat Cor;2.1160786;41.3760739
Institut escola Gavà Mar;2.0155079;41.2665659
Escola Dolors Almeda;2.089408;41.3522818
Escola L'Eramprunyà;2.003391;41.3082254
Institut de Bruguers;2.0013384;41.3097892
Escola Jacme March;1.9972079;41.3036792
Escola Salvador Lluch;2.0013805;41.3055099
Col·legi Sagrada Família;2.0045718;41.3088723
Col·legi Maristes Champagnat;2.2444709;41.447556
Col·legi Badalonès;2.2463451;41.4472334
Sant Domènec Savio;2.2398643;41.4432424
Institut Puig Castellar;2.2016286;41.4553478
Sant Lluís de Pla i Amell Bosch;1.9419269;41.3313845
Escola Sant Cristòfor;1.9239401;41.3323616
Escola Sant Jordi;2.0077314;41.3913573
Institut Júlia Minguell;2.2147466;41.4381379
Escola Rafael Casanova;2.2172091;41.4359761
Institut Escola Rafael Alberti;2.2154447;41.4364124
Escola Baldiri Reixac;2.2225264;41.4428668
Escola Antoni Botey;2.2206243;41.4400942
CFA Gran Sol;2.2219539;41.4426924
Institut Eugeni d'Ors;2.223839;41.435951
Escola Feliu i Vegués;2.2208776;41.4449156
Col·legi Virolai;2.0285583;41.4125621
Escola l'Alzina;2.0227896;41.4140159
Escola Ramon Llull;2.1778134;41.4006563
Escola Elvira Cuyàs;2.1837842;41.4943905
La Salle Montcada;2.187944;41.4891929
Escola Pegaso - Instiut Príncep de Viana;2.1871453;41.4278803
Escola Pare Poveda;2.1416839;41.4170924
Escola Gravi;2.1388964;41.4207464
Escola Josep Maria de Sagarra;2.1402275;41.4191638
Escola Oficial d'Idiomes de Barcelona Vall d'Hebron;2.1386046;41.4270048
Escola Sadako;2.1341173;41.4180927
Escola Sant Martí;2.1976684;41.4044347
Escola Arrels;2.1812271;41.426633
Col·legi La Salle Congrés;2.1821196;41.4259153
Escola Castell Ciuró;2.026207;41.4110299
Institut Bernat el Ferrer;2.0272062;41.4106824
Institut Narcís Monturiol;2.1925099;41.3817403
Institut Joan Salvat Papaseit;2.1925488;41.3813371
Escola Alexandre Galí;2.1932335;41.3812089
Escola Milagros Consarnau;2.1295952;41.3643967
Institut Santa Eulàlia;2.1275671;41.3648141
Institut Bisbe Berenguer;2.1294125;41.3635255
Escola Frederic Mistral;2.1337027;41.3615812
Escola Mare Nostrum;2.15486;41.4365325
Institut Escola Art. Oriol Martorell;2.159732;41.440537
Institut Lluís Vives;2.1282471;41.3715821
Escola Mossèn Cinto Verdaguer;2.036809;41.4996896
Institut La Serreta;2.0346125;41.4979681
Escola Prat de la Manta;2.1273832;41.359503
Escola Pompeu Fabra;2.1236144;41.3636349
Aloma;2.1782654;41.4322775
Escola Betània - Patmos;2.1101103;41.3968893
Escola Pau Romeva;2.113196;41.3764254
Escola Lola Anglada;2.2562564;41.456952
Escola Can Palmer;2.0062394;41.3094798
Institut El Palau;1.9620293;41.454307
Escola José Juan Ortiz;1.9652124;41.4508059
Escola Vall de Palau;1.9641389;41.4511554
Col·legi Jesús i Maria;2.1324489;41.4093344
Institut de Sales;2.0284694;41.3187004
Institut Montserrat Roig;1.9743098;41.4454858
Escola Josep Pla;1.9742051;41.4511363
;1.9660922;41.4448669
Escola Joan Maragall;1.9696314;41.4470791
Institut Escola Turó d'en Caritg;2.2261623;41.4444272
Col·legi Inmaculada Concepción;2.0035779;41.3027908
Escola Santo Ángel;1.9936736;41.3034622
Escola Marcel·lí Moragas;1.9939139;41.3118151
CFA Barceloneta;2.1882853;41.3824979
Institut Joaquim Blume;2.0966693;41.3785197
Escola Joan Miró;2.1512515;41.3788579
Institut Ernest Lluch;2.1505605;41.3783112
Virgen de la Salud;2.0456551;41.3840481
