Farmacia ;latitude;longitude
Farmàcia Mauri Martínez, Emília;2.1585725;41.4025115
Farmàcia Valentines Nart, T - Gelabert Valentines;2.157597;41.4031147
Farmàcia del diamant;2.1553363;41.4039465
Farmàcia Bombardo Vial, Miquel;2.1715874;41.3764247
Farmàcia Nieto Calm, Maria Dolors;2.1732928;41.3782412
Farmàcia Clapés Antoja, Josep;2.1725153;41.3822988
Farmàcia Vives Sánchez, Adela;2.1671991;41.3753821
Farmàcia Genis de Arana, Ignasi;2.1674957;41.3774283
Farmàcia La Pava;2.0013869;41.2691059
Farmàcia Selva, Josep Maria i Cristina;2.1389385;41.4923533
Farmàcia Hidalgo del Barrio, Anna M.;2.1447283;41.4893588
Farmàcia Sánchez Casals, Maria Soledad;2.1327417;41.4857705
Farmàcia Cases Perera, Mariona;2.1497797;41.3937636
Farmàcia Giró de la Iglesia, Olga;2.1445936;41.3933021
Farmàcia Gaya Montserrat, Mercedes;2.1379764;41.3919314
Farmàcia Carlota Torres;2.1253205;41.3912953
Farmàcia E. Pinto Font - I. Grases Pinto;2.1226099;41.3906341
Farmàcia Lluís;2.1391742;41.4900438
Farmàcia Cèlia Rovira Laguera;2.1371988;41.4942174
Farmàcia Vila Nieto, Isabel;2.1858055;41.4904309
Farmàcia Soriano Santigosa, Núria;2.2050039;41.4523006
Farmàcia Montserrat Vela Parellada;2.2318179;41.6368058
Farmàcia Núria Salayet Pompido;2.2327878;41.6388744
Farmàcia Montserrat Trullols Casas;2.2355417;41.6267522
Farmàcia Xuclà;2.0163979;41.4134452
Autofarmacia;1.7992609;41.2359882
Farmacia J. Crespo Molina;2.1408569;41.4197988
Farmàcia Parc Virgili;2.142485;41.4154874
Torelló Riba;1.6081421;41.5733893
Secanell Roca;1.6081371;41.574802
Farmàcia La Salut;2.2222357;41.4439522
Farmàcia Llefià;2.2176387;41.4368424
Farmàcia Fàbregas;2.3150633;41.480868
Farmàcia Iza Marco, Ana;2.1751995;41.4469028
Farmàcia Craywinckel;2.1395126;41.4120106
Farmacia C. Vonn Carlstenn - LictherFelde Melendez;2.7380824;41.6410616
Farmacia Relat;2.1868106;41.4834329
Farmàcia Guix Mestres, Montserrat;2.1880286;41.4854694
Farmacia Planas-Codinach;2.0862118;41.5760979
Farmàcia Iglesias;2.2550847;41.4536541
Farmàcia Masagué Ramonell, Anna;2.1784533;41.3942532
Farmàcia Salvador Solé, Palmira;2.189737;41.3923144
Farmàcia Colomer Llach, M. Mercedes;2.2831856;41.8999352
Farmàcia Hernández Calvet, Jordi;1.9695174;41.4479166
Farmàcia Caus Fumaña, Marta;2.0903834;41.5014161
Farmàcia Puig de Dou, M. Queralt;2.1786434;41.4057761
Farmàcia Nardi Ricart, Anna;2.1476885;41.3895915
Farmàcia Hereus Torras Surroca;2.2488028;41.4485396
Farmàcia Sara Morató Abad;2.2179544;41.4414694
Farmàcia Carmen Nebot;2.2189838;41.4434562
Farmacia Bach;2.2195467;41.4501515
Farmàcia Josep Salla Fuster;2.2256189;41.442953
Farmàcia García Coma, Xavier;2.1990606;41.4114535
Farmàcia M. Manyer Català - S. Asencio Repullés;1.9249656;41.4172878
Farmàcia Boscasa;2.216681;41.4331348
Farmàcia Palau-Ribes O'Callaghan - Adsarà Grau;2.221508;41.440181
Farmàcia Josepa Salla Clarós;2.2202722;41.4382693
Farmàcia Badalona;2.2254755;41.4385626
Farmàcia Jorge Gimeno Siscar;2.2162543;41.4421152
Farmàcia Pau Piferrer;2.223117;41.4453031
Farmàcia Mercè Condal Elies;2.2150667;41.4396982
Farmàcia Roca-Mauri;2.0183873;41.4117282
Farmàcia Núria Brun;2.0211903;41.4141923
Farmàcia Prats Gorrochategui, Matilde;2.1719165;41.4451469
Farmàcia Ramon Tugas, Montserrat;2.212875;41.5379387
Farmàcia Torrents Lorca, M. del Carmen;1.8037971;41.2348655
Farmacia Central;1.8094543;41.236497
Maribel Milà Roca;2.0230731;41.4075986
Farmàcia Codina;2.0280321;41.4048191
Farmàcia Rosenfeld Barrenechea, Ricard;2.1696695;41.3835968
Farmàcia Galcerà Monné, M. Elena i Rosa;2.1800918;41.398628
Farmacia E. Fors Iborra;2.1793749;41.4000479
Farmàcia Ramon Torelló Colet;2.1893469;41.3756728
Farmàcia Nadal Casas, Manuel;2.170421;41.3845322
Farmàcia Sanz Jornet, M. Alejandra;2.1432933;41.3751115
Farmàcia Escudero García, M. Josefa;2.1405636;41.3751342
Farmàcia Curto Tort, Josefina;1.9127307;41.4737663
Farmàcia Grases Capell, Josep i Mireia;2.0342057;41.3469334
Farmàcia Bosch de Basea Cusco, Guillermo;2.1561348;41.3888208
Farmàcia Rubies Marin, Gemma;2.1785741;41.4410503
Farmàcia Barja González, M. Isabel;2.2351833;41.574237
Farmàcia Piqué Figuerola, Raimon;2.1886861;41.3790544
Farmàcia Jover-Santiña Roca, M. Dèbora i Pilar;2.390317;41.5029285
M.Roca Mir;2.387798;41.508424
Farmàcia Basté Barberan, M./Comas Basté O.;2.3942132;41.5049543
Farmàcia Teruel Roca, Anna M.;2.1249849;41.3612757
Farmàcia Altirriba Pertegaz, Joan;2.384834;41.5015875
Farmàcia Altarriba Gutiérrez, Joan;2.3933698;41.5088739
Farmàcia Pinto Arellano, Bernardo;2.0663142;41.4583785
Farmàcia San Martin Peláez, Maria Montserrat;2.1694012;41.417609
Farmàcia Gómez Martínez, Jesus Carlos;2.1704461;41.4167971
Farmàcia Mancho Muñoz, Amparo;2.1685072;41.4158266
Farmàcia Cabre Menendez;2.0889294;41.3663028
Farmàcia Palacio Bescos, Maria del Pilar;2.1723734;41.4188827
Farmàcia Lesseps;2.1509493;41.4070128
Farmàcia Naudin Ferrer, Àngels;2.1792626;41.4078928
Farmàcia Pou Goula, Ester;2.2789764;42.0055242
Farmàcia Rosell Rovira, M. Lluïsa;2.2831171;42.0046775
Farmàcia Hidalgo Güimil, JL-Moscardó Martínez, R;2.0372839;41.4981274
Farmàcia Herrero Torres, Ignacio;2.0850427;41.5552276
Farmàcia Pareto;2.1275516;41.3656095
Farmàcia Hormigos Pérez, M. Carme;2.131757;41.3680259
Farmàcia Escudero Cabrerizo, Susana;2.1327599;41.3614282
