Gimnasio ,longitude,latitude
CEM Can Ricart,41.3770494161776,2.17053680182037
DYR,41.419575042106,2.14039829345263
Poliesportiu Joan Miro,41.3787131924631,2.15093402262453
Centre Esportiu Municipal Estació del Nord,41.3939875721311,2.18299896674046
Gimnàs Municipal,41.5482283347833,2.1137471686334
DIR,41.5282444905941,2.43223116911846
Oxygen Sports Club,41.5359617338097,2.23066049293927
Sorli Sport,41.5651612171758,2.51592374795272
Ozona Crossfit,41.9384746,2.2519965
Gimnàs Municipal,41.2850174274072,1.72179382205248
Duin Jordi Marí,41.490418992743,2.26138064750147
Centre Esportiu Municipal Maritim,41.3844641818937,2.19474996315241
Ègora,41.7928288276452,2.22440310878221
Vestidor,41.3660267962778,2.006502234102
Gimnasio QuoFitness,41.6313003190163,2.29562224055298
Esportiu la Piscina. Centre Municipal d'Esport i Salut,41.2212719747787,1.71931245520286
Dirfit,41.4803887173918,2.05896716632344
,41.6104700802019,2.08953480015131
,41.6142266406014,2.08348092960704
,41.6196511522167,2.09152501950348
Symplygym,41.3931771124325,2.18776913904751
ÉsPàdel - Padel indoor,41.525374567186,1.8797276896027
Poliesportiu Municipal El Cim,41.4949570818428,2.31951688015025
,42.1364687,1.9301149
Merino Gimnàs,41.3384515,1.68381635
Joaquin Gym's,41.3503867789917,2.06842640488147
Gym Miquel,41.7968850655923,1.95035945083295
Basic Factory,41.5340515911303,2.11687802336991
,41.4940999625425,2.13986505156515
Gimnas Boss,41.4948641529766,2.13664736613483
,41.384638308427,1.93269819774855
,41.4297442255691,2.18239492865077
Eleven Sport Club,41.5373580823651,2.21721884028166
Fitness Park,41.237944042784,1.72697884550871
OGUN,41.4823766167646,2.0214818530039
Gimnàs Can Marcet,41.5413997601473,2.09965938685607
VivaGym Finestrelles,41.3770808002997,2.09723885330766
L'estudi Yoga,41.5060069,2.3963155
Fitness Lleure,41.4101667,2.1411585
Programa COS pro inertia,41.393584,2.1725873
Centre esportiu municipal Can Toda,41.4152628,2.1579797
VivaGym,41.3811131,2.1456253
SilPilates,41.4036809,2.1957251
Yoga con Gracia,41.4054523,2.15704
Gim Laura,42.0065972,2.0295493
Osona Pilates,41.9314259,2.2427184
Ashtanga Yoga Shala,41.3813746,2.1825868
Taekwondo Bam Chun Dokwan II,41.4060235,2.18981
Parc Esportiu Garraf,41.2310727,1.732386
Gimnàs Koryo,41.4169395,2.1939995
Club esportiu Laietà,41.3787879,2.1161611
Judo Club l'Hospitalet,41.3642593,2.125641
Mcfit,41.5115968,2.1304361
Dance Gold,41.2351775,1.7369384
urban fit,41.3167615,2.0105082
Buldervuit,41.7461131,1.8055569
Viva Gym,41.3763337,2.1603395
,41.3764967,2.1678132
Dir Claret,41.4063235,2.1680316
Shoshinkan,41.3735822,2.1372554
Metropolitan Badalona,41.4501433,2.2484613
Gimnasio Puro Impacto Barcelona,41.4232821,2.1815382
Bun Kay,41.4988764,2.1605844
A Run de Terra,41.4037382,2.1501426
Sisè Sentit Estudi de Dansa i Pilates,41.5882212,2.5775408
Badalona Fitness,41.4595293,2.2422247
Metropolitan Sagrada Familia,41.4018081,2.1711881
Aka Boxfit,41.4022679,2.1562771
Duo Fitness,41.4974737,2.1626956
Esportiu Claret,41.4063295,2.1669313
Nagora,41.4088755,2.2024979
Irene Gym,41.4983057,2.1619622
Cross Fit Sant Marti,41.411438,2.2094046
COOT Pilates,41.6306227,2.2970716
Centro Pilates Tiana,41.4826422,2.2686962
Anytime Fitness,41.3781691,2.153791
Fabrik,41.3997861,2.1702364
Ray Fitness BCN,41.3832933,2.1567771
ago yoga,41.3910114,2.1753605
Metropolitan Galileu,41.3815996,2.133445
Satya,41.532446,2.0876876
Gimnàs World Castellar,41.6109203,2.0859588
GYM esport Rogent,41.4087164,2.1859789
Gimnasio Gali,41.4963365,2.160248
Metropolitan Gran Via,41.3463439,2.109263
McFit,41.4945771,2.1556828
Fuerza Salud,41.537617,2.1048582
Anytime Fitness,41.9331655,2.2499437
Our Solution Site,41.6080237,2.0870727
Canglomerat,41.6159137,2.0837354
Anandhi Yoga,41.6174535,2.092141
VivaGym,41.3876748,2.0400947
Dinàmic Gimnas,41.9322151,2.2535168
DIR Gràcia,41.3989409,2.1563946
Holmes Place,41.3902439,2.1739646
Ingravita Climbing Boulder,41.5822266,1.6145076
VivaGym,41.358356,2.1240458
O2 Balsareny,41.863033,1.8758055
Joaquin Gym,41.3504238,2.0684259
Brooklyn fitboxing,41.3799756,2.0535358
VTC Crossfit & Muay Thai,41.4787145,2.0702467
Rite of Passage Barbell Club,41.3595959,2.1123845
El Raconet de les Emocions,41.7534258,1.8757268
Gimnàs Koryo,41.3867953,2.1342007
DiR Club Hispà,41.4307993,2.1486919
Fitness Park,41.3964556,2.1534425
Duet Fit Universitat,41.3847986,2.1629189
Duet Fit,41.3670504,2.136482
Byoga,41.4125981,2.1768795
Moving,41.63202,2.2962404
McFit,41.4850727,2.0426211
Holmes Place,41.3887,2.16366
The Class BCN,41.3865899,2.124897
Yoga One Rubí,41.489761,2.0297701
Mcfit,41.4850754,2.0426663
Gimnasio McFit,41.3880419,2.1659268
Yoga-Soto,41.2239944,1.7228619
Anytime Fitness,41.4016592,2.1979346
,41.4512723,1.9663969
Shao-Lin Kunf-Fu Club,41.4494567,1.974152
RFC Rivera Fit Centre,41.4742417,1.9281439
Land Water,41.3961097,1.9581856
Pilates Diagonal,41.407423,2.2044203
Mugendo martial arts,41.403129,2.2023774
Sant Pau sports club,41.3770098,2.1655057
Muay Thai Barcelona,41.4039549,2.1671082
Gym Fort & Strong,41.3894713,1.9345193
Camino al Bienestar,41.4380588,2.1671289
Gimnasio Koun,41.3822295,1.9300845
Metropolitan,41.3984324,2.1509871
Dir Tuset,41.3955419,2.1502004
Apex Studio,41.3988892,2.1495051
Kimera Climbing Barcelona,41.3038981,2.0128906
Nytta,41.3970299,2.1480443
Patrick Eisenberg Pilates,41.3994196,2.1513619
Club Boxa Sant Gervasi,41.3991565,2.1510792
,41.3562739,2.0716094
69 Monos,41.3572252,2.0743549
Espai Tai Ji Chen,41.5711645,2.2319692
Eurofitness Sant Miquel,41.3912589,2.1537026
,41.5729292,2.4820741
Dona 10,41.3979974,2.1502308
Trib3,41.3998996,2.1496717
Viva Gym,41.3969518,2.1545373
9a Poblenou,41.4022489,2.208474
,41.3826981,2.1418298
,41.3921766,2.1488599
Fitness Park,41.391369,2.1506368
,41.4483228,1.9741583
,41.3888032,2.1428086
Fundació Cultural Hostafrancs,41.3757492,2.1445822
Club esportiu Hispano Francès,41.4307348,2.1497144
Ve Pilates,41.3984527,2.1981208
,41.3843892,2.1413079
Áccura Bruc,41.3964326,2.1669339
Altafit,41.3739533,2.1700075
,41.360492,2.1103931
,41.3604319,2.1102416
,41.4067048,2.1240359
dreamfit,41.3321183,2.0529938
,41.2651533,1.9638335
Strong fitness,10.1735691,-64.6828628
,10.1611407,-64.6835248
Brooklyn Fitboxing,41.3981296,2.1571251
,41.353216,2.1347839
,41.4371119,2.1840897
Jk boxing & fitness,10.1450698,-64.6862021
Sport muscles gym,10.1350439,-64.6869423
MCfit vilamarina,41.3114897,2.0247267
Corpus Movens,41.4474942,1.9684735
Gimnasio vertical,10.1425009,-64.7062445
Jardín de Hara,41.4004652,2.1605334
,41.3747657,2.1324584
Espiral Pilates,41.4815149,2.3276834
VivaGym,41.3786315,2.1620416
Altafit Gym Club,41.5639981,2.036662
Wild Movement,41.4799026,2.2964248
SAB Crossfit,41.4525892,1.9744267
CrossFit Ikaika,41.4818624,2.3179709
neugym,10.153791,-64.6698412
Espai UP,41.4830365,2.316293
gym moro,10.1368616,-64.6852369
gym factory,10.1354504,-64.683775
Centre Esportiu Perill,41.3993295,2.1615967
Lara Thai,41.4819507,2.318328
yoga-marga autopráctica,41.4012917,2.1601855
,41.3614961,2.1455846
,10.1363529,-64.6695
músculo gym,10.1426632,-64.6811917
Just Training Fit,41.3553421,2.1111045
Fitness Park,41.3976286,2.1516096
Sportcentre,41.7840309,1.8468412
CrossFit Euryali,41.4834451,2.3273075
,41.4117585,2.1839051
Gym Peyo,10.119941,-64.6807387
McFIT,41.5602458,2.0078342
Dirrtybox,41.2322622,1.7381532
Andabe fitness,41.2295401,1.739552
Mec pilates,41.2244645,1.714928
Anytime Fitness,41.2220164,1.7146102
Centre Yoga om Vilanova,41.2200488,1.7154671
YogaONE,41.2200796,1.7240234
Buddhi Yoga Vilanova,41.2179299,1.7305961
Club Esportiu Wai Khru Vilanova,41.2187823,1.7304821
Crosfit VNG,41.2265505,1.7416643
Fearless sport Club,41.2189972,1.7342734
Centre Wu xing,41.2179339,1.7329994
Equilibri salut corporal,41.2212472,1.7279991
Pirámide,41.2241912,1.7368115
Dance it,41.2292153,1.7254999
Club Mugendo Vilanova DYM,41.2214465,1.7248696
Gimnas Castañeda - Club karate Castañeda,41.2209572,1.7244163
VivaGym,41.4046752,2.1913428
Dreamfit,41.4261118,2.2292129
Crossfit Spartan,41.7230719,1.8477217
Saló salut,41.2211015,1.7203713
Anytime Fitness,41.3958894,2.1201333
Mugendo Vilanova,41.222863,1.7297365
Mec Pilates,41.2280111,1.7203679
Infratrainer Fitness salon,41.2259278,1.7171902
formula,41.4024323,2.1605071
Tot Pilates Santa Eulàlia,41.6373497,2.2340675
Taekwondo Vilanova Choi's,41.2231145,1.7205511
Centre Yogadanda,41.2266137,1.7273658
Centre Gimnastic Vilanova,41.2239041,1.7238909
Fit Time,41.6385551,2.2325724
Naturalia Vida Natural,41.2280429,1.7280689
Yoga Weeks Barcelona,41.3819933,2.1696798
,41.4156529,2.157585
Gimnàs a l'aire lliure,41.3889746,2.1286807
Gimnàs Mesvida,41.4522958,1.9661839
Centre de Mindfulness de Barcelona,41.4045222,2.1603349
Anaconda fight club,41.4070412,2.1671507
Centre Esportiu Claror,41.4045079,2.1710736
Gimnàs Damián,41.4529539,1.9670084
Ludus Training Center,41.3990282,2.1624252
Yoga Body,41.4067997,2.1515323
Claror Marítim,41.3846634,2.1952794
Centre Esportiu Municipal Colom,41.3779726,2.1762933
,41.3875972,2.1544649
,41.402713,2.1359204
BDir,41.3904845,2.1579235
,41.4366001,2.1749813
BDiR Lesseps,41.4079452,2.1516677
,41.3944548,2.1431685
,41.3974405,2.1621593
DiR Avinguda Madrid,41.3803621,2.1315842
,41.3871776,2.1499182
Grapplers Paradise,41.4814514,2.3269569
YogaOne,41.4917349,2.1357042
Iogasants Connectat,41.3764638,2.137638
Indy,41.4039352,2.1606902
Gruo,41.4004271,2.1591689
Nick sports,41.4271977,2.1656579
Fit2You,41.4404604,2.230506
mamayoga,41.4012971,2.1550837
Espai de meditació,41.393006,2.1692252
Cosmofit,41.3920672,2.1704628
Dir,41.3900031,2.1717788
Cristina Alaguero Fithub,41.5043336,2.1573012
The Yoga Club Barcelona,41.3996189,2.1587629
Pole Dance Factory,41.4046542,2.1537902
Kangoo Club Maral,41.5732267,2.0297732
Espacio Sattva,41.3997093,2.156992
Boxfit,41.4001896,2.1587403
,41.3809737,2.1146202
Sala Aglaya,41.4062201,2.1539158
Sou Livre,41.394421,2.1935078
Wellness Evolution,41.3944888,2.1690944
Enso,41.4517087,1.963036
Habits Health Coworking,41.3863413,2.1600917
Espacio Sincronia,41.4005939,2.1558505
Be Legend,41.3930802,2.1397327
Basic Factory,41.7235004,1.8161261
Entrenador Personal Dani Yanes,41.4078297,2.1346235
Sala DFA Entrenamiento Personalizado,41.3748579,2.1380365
Spiritual Yoga & Dance,41.6274528,2.1659453
Sant Jordi,41.6902486,2.1631318
Sarasvati,41.3988986,2.1543134
Befitness Centelles,41.7982759,2.2221545
Lifting La Vida Loca,41.7933449,2.2340703
Àrea Pilates Barcelona,41.3954637,2.1437826
Sou Livre,41.3764724,2.1521105
Let's Fly,41.3991679,2.1761633
Evo Gym Club,41.488333,2.3202497
GREEN FIT,41.4090619,2.1707587
LoveCycle,41.3966113,2.1552466
l'Espiral,41.4065449,2.1599488
Villa Zen Barcelona,41.4060222,2.1605672
Poliesportiu Municipal Gornal,41.3604697,2.1177731
Centro de Yoga Om Shanti,41.4904707,2.1422207
QINETIC STUDIO,41.5844164,1.617469
