propertyCode;properties.name;properties.name_distancia
99117414;Jesuïtes Casp - Sagrat Cor de Jesús;137.68590900613157
101300670;St. Nicholas School;149.68745369231183
104772587;Perez Iborra;260.924779516106
100770574;Escola Tècnico-Professional Xavier;320.77624734112004
105932101;La Salle Comtal;227.66725429644745
102267096;Institut Angeleta Ferrer;158.45843658025294
89312621;Col·legi Reial Monestir de Santa Isabel;370.9652369268932
104038296;Centre Educatiu Santa Anna - Eixample;237.82692072190972
95269529;Mare del Diví Pastor;285.3874819454828
103898736;Escola Augusta;141.8337027640732
104171277;Santa Teresa - Ganduxer;285.3090205326512
99411495;Escola Massana;133.63978384355096
97908823;Escola Patronat Domenech;152.43644871795337
101660330;Escuela de Artes Aplicadas y Oficios Antiguos;288.7527599327855
100923748;Escuela de Artes Aplicadas y Oficios Antiguos;53.02919145240918
105200359;Escola Infant Jesús;193.54146632903158
104395845;Escola Joaquim Ruyra;603.5328638330946
104104070;Escola Poble-sec;323.8335563604539
104300966;Prat;147.2378235106104
85492220;Escola Santíssima Trinitat;45.62163979267886
104301010;Col·legi Lestonnac;109.62628667647742
100973297;Escola La Mar Bella;445.1991577684919
104300820;Shalom;273.90730251327614
103375251;La Salle Comtal;285.3033850858313
104674961;Escola Joan Triadú;52.72402295030408
101806580;Escola Pia de Nostra Senyora;308.96040335644483
104301658;La Salle Comtal;170.82639211433295
101577873;Santa Teresa - Ganduxer;99.07222755557106
103375253;Els Arcs;410.78291659460007
104978151;Immaculada Concepció Barcelona;129.75291050876376
105135662;Sagrado Corazón;207.32959457622098
104751759;Immaculada Concepció Barcelona;208.2029924445386
104830762;Escola Joaquim Ruyra;119.8893560926916
100414469;Col·legi Pare Manyanet;400.5859792246727
102988077;Institució Cultural del CIC;122.7835691797172
92808556;Escola Joaquim Ruyra;433.29794665963396
104355336;Col·legi Maristes la Immaculada;188.0296532343419
101731983;Escola Montserrat;609.0540916992793
104354008;Col·legi Maristes la Immaculada;188.0296532343419
105840030;Escola Drassanes;158.16719207574016
100795049;Els Arcs;189.98119991986394
105744721;Institut Verdaguer;504.46944756023515
105744717;Centre Educatiu Mare de Déu del Roser;184.06626126687297
105744713;Escuela de Artes Aplicadas y Oficios Antiguos;241.9470483513637
105744728;Escola Drassanes;266.04629225943705
105904313;Institut Front Marítim;332.58660529967824
105437601;Col·legi Reial Monestir de Santa Isabel;106.29476979712638
99673590;Escola Palcam;223.8559933087464
101674986;Centre d'educació Adela de Trenquelleón;204.22001521241017
101849486;Escola Ángel Baixeiras;292.31976660127526
104214558;Som-hi dansa;163.38621224895735
100491848;Lyceé Français de Barcelone;128.30435626003063
105248415;Escola Josep Maria Jujol;184.20189196246682
104664074;Institut Ernest Lluch;187.270311587706
105391927;Institut Angeleta Ferrer;311.20765179529474
96535945;Escola Solc;150.72646038048129
105168573;Escola Nàutica Port Olímpic;210.46003959963224
105584469;CFA Madrid;312.9818039040344
100756616;Escola Fructuós Gelabert;39.89767549117634
105962661;Escola l'Estel;80.64372604838215
105961430;Escola La Muntanyeta;116.12484795241876
104192936;Escola Massana;171.5418107417081
100683533;Escola Poeta Foix;174.19413182751705
99097372;Escola Thau;418.891585049993
103859092;Centre Educatiu Mare de Déu del Roser;80.78875541577459
104491424;Col·legi Sant Francesc Xavier;177.61693629503222
104254323;Prat;211.5281586126515
99736872;Acis;357.52576983117376
102756132;Escola Massana;415.17952566711637
104706723;Escola Pia Sant Miquel;333.7420668433223
102475902;Escola Betània - Patmos;87.99116683417994
96978808;Escola Mary Ward;191.12149618305742
105959775;Escola Sagrada Família;353.03211008149555
104050541;Santa Teresa - Ganduxer;424.4399013675969
97567761;Escola Ángel Baixeiras;179.43652011183497
105962622;Escola Fructuós Gelabert;169.8428251034466
102842326;Escola Patronat Domenech;208.1066306583341
103294347;Institució Cultural del CIC;370.1694518494082
104628125;EOI de Barcelona - Drassanes;309.165701970507
102924204;Escola Ángel Baixeiras;151.56730799069626
105741973;Centre Educatiu Mare de Déu de la Soledat;451.0710858291913
105957559;Escola Pia Sant Antoni;103.15286370557577
105457114;Institució Montserrat SCCL;313.30835963042983
103733107;Escola Orlandai;224.56836303967899
104079678;Institut Lluís Vives;154.0691737615673
102490609;Escola Tècnico-Professional Xavier;468.6543160789941
105885329;Institut Lluís Vives;17.22977120504048
105770457;Escola Fort Pienc;277.1732460256859
