neighborhood,count
El Poble Sec - Parc de Montjuïc,352
La Dreta de l'Eixample,321
Vila de Gràcia,312
Pubilla Cases,311
Sant Andreu,291
La Florida,262
Pedralbes,260
Sarrià,257
Collblanc,234
Sants,176
El Carmel,175
Les Corts,174
Sant Gervasi - Galvany,167
Ciutat Meridiana - Torre Baró - Vallbona,155
El Besòs,152
El Camp d'En Grassot i Gràcia Nova,151
Sant Josep,136
El Gòtic,125
El Guinardó,122
Can Peguera - El Turó de la Peira,121
Santa Eulàlia,117
L'Antiga Esquerra de l'Eixample,115
Sants - Badal,115
La Maternitat i Sant Ramon,100
La Verneda i la Pau,99
Sant Pere - Santa Caterina i la Ribera,96
La Salut,94
El Camp de l'Arpa del Clot,90
Les Roquetes,89
Centre,82
El Raval,81
Vallvidrera - El Tibidabo i les Planes,78
Bellvitge,74
El Poblenou,73
El Baix Guinardó,72
La Sagrera,71
El Clot,71
Horta,70
La Sagrada Família,65
Can Baró,64
Diagonal Mar i el Front Marítim del Poblenou,63
La Prosperitat,62
Verdun,60
Provençals del Poblenou,59
La Torrasa,58
La Nova Esquerra de l'Eixample,57
Sant Gervasi - La Bonanova,56
Vallcarca i els Penitents,52
La Teixonera,50
Sant Genís Dels Agudells - Montbau,49
Sant Martí de Provençals,48
Les Tres Torres,46
El Parc i la Llacuna del Poblenou,42
Sant Antoni,39
El Putxet i el Farró,35
La Trinitat Nova,35
La Barceloneta,33
El Fort Pienc,30
Porta,30
Les Planes,29
Can Serra,28
El Coll,26
Llefià,25
La Vila Olímpica del Poblenou,22
La Font d'En Fargues,18
Navas,15
Montigalà,15
Progrés-Pep Ventura,13
Vilapicina i la Torre Llobeta,12
La Bordeta,12
Gran Via L-H,12
Puigfred,11
La Marina del Port,11
Hostafrancs,9
Carretera del Mig,8
El Congrés i els Indians,8
Gorg,8
Sant Roc,8
Sant Crist,7
Manresa,7
Sanfeliu,7
Congrés,5
Casagemes,5
La Trinitat Vella,5
La Marina del Prat Vermell,5
La Guineueta,3
Canyelles,3
Sistrells,2
Lloreda,2
La Vall d'Hebron - La Clota,2
El Bon Pastor,2
La Font de la Guatlla,2
Canyadó,1
Baró de Viver,1
La Pau,1
