propertyCode;latitude;longitude;estacion_mas_cercana;distancia_metros
99117414;41.3915639;2.1712643;Passeig de Gràcia (L2);343.3573205042666
101300670;41.3957095;2.1623512;Diagonal;203.09276169705913
104772587;41.3874136;2.162632;Universitat;223.50023045952153
100770574;41.385963;2.1804158;Jaume I;260.6563948768443
105932101;41.3888224;2.177394;Urquinaona;253.65507236801338
102267096;41.398689;2.1788173;Monumental;210.65986155279379
89312621;41.4003309;2.1264782;Sarrià;197.5449605554963
104038296;41.3936519;2.1712353;Girona;154.08908253343805
95269529;41.3914619;2.1738039;Urquinaona;212.3112090335449
103898736;41.3977555;2.140259;Muntaner;238.84835748632156
104171277;41.3970105;2.1321442;les Tres Torres;104.38856088167847
99411495;41.3820774;2.1705548;Liceu;223.67808990888966
97908823;41.3972076;2.1584031;Diagonal;190.6599329051397
101660330;41.3820947;2.17516;Liceu;191.19243494951505
100923748;41.3805511;2.1778033;Jaume I;390.49964655431125
105200359;41.3958728;2.1481071;Muntaner;533.3547375661645
104395845;41.4062339;2.2167724;El Maresme | Fòrum;615.4886993726512
104104070;41.3726741;2.1665673;Paral·lel;343.0597337887894
104300966;41.3952831;2.1669124;Girona;339.694020036132
85492220;41.3889602;2.1092003;Zona Universitària;563.5303925095083
104301010;41.3924284;2.1655866;Passeig de Gràcia (L2);400.7064877940843
100973297;41.3974686;2.2078448;Poblenou;784.9095069394407
104300820;41.3940247;2.163282;Diagonal;351.1617785070969
103375251;41.390589;2.1753708;Urquinaona;125.55388120607397
104674961;41.4064525;2.1594368;Joanic;314.35704859743635
101806580;41.3886114;2.1680554;Passeig de Gràcia (L2);94.21422305202695
104301658;41.3866769;2.1747612;Urquinaona;197.9396192781451
101577873;41.398657;2.1334639;les Tres Torres;223.29775191433367
103375253;41.4030039;2.1370272;el Putxet;358.47061080565965
104978151;41.3902718;2.1612755;Provença;399.4275725635774
105135662;41.3911202;2.120897;Maria Cristina;568.4294820429062
