properties.name;latitude;longitude;distancia
Ecoparc;41.3301838;2.1370899;8604.739402571215
ZAL | Riu Vell;41.3237458;2.1331165;9257.626818927338
El Prat Estació;41.3314023;2.0901394;8645.591099384603
Les Moreres;41.3289845;2.1030715;8682.671783776357
Mercabarna;41.3335696;2.1112293;8102.079156882019
Badal;41.3755518;2.1289265;3535.8271784613726
Bon Pastor;41.4361256;2.2048081;7964.797869311187
Camp de l'Arpa;41.4146858;2.1810127;5337.903743666854
Can Boixeres;41.3665823;2.0915183;4944.792091129261
Canyelles;41.4417701;2.1664392;5638.1223654721525
Collblanc;41.3758735;2.1184045;3383.1816833943126
Congrés-Indians;41.4234164;2.1812853;5609.670027379035
Drassanes;41.3769334;2.1759836;5836.561760530585
Entença;41.3839818;2.1449598;3345.6727358552703
Fontana;41.4021018;2.1529951;2952.097121299203
Gavarra;41.3579852;2.0792152;6279.880851977079
Gorg;41.4404408;2.2336924;10375.548708499029
Horta;41.4296898;2.1603155;4377.115676687627
Hospital Clínic;41.3881615;2.1505425;3378.7497422406514
Llefià;41.4413034;2.2175477;9172.494649215558
Maragall;41.4250282;2.176504;5302.663043232011
Maria Cristina;41.38794;2.1262221;2151.8485860394967
Montbau;41.4295504;2.1445379;3393.767360217898
Mundet;41.4355422;2.1483831;4112.617364078098
Onze de Setembre;41.4297598;2.193435;6811.068072491354
Penitents;41.4175413;2.1411326;2289.9916299270076
Plaça del Centre;41.3820364;2.136232;3093.814727604714
Pubilla Cases;41.3738133;2.1071207;3727.679064292711
Roquetes;41.447355;2.1757834;6631.046264567428
Tarragona;41.378444;2.1453675;3844.490030820754
Vallcarca;41.4119098;2.144542;2292.5953660726545
Valldaura;41.4380037;2.1568764;4780.763324765618
Vilapicina;41.43046;2.1681725;4967.227111383399
Zona Universitària;41.3842442;2.1116863;2512.143410545787
la Salut;41.442733;2.2245758;9772.441248609577
les Corts;41.3841337;2.1308782;2685.95809071684
Rambla Just Oliveras;41.3639652;2.0998719;4947.56924412525
Sarrià;41.3988657;2.1251389;1015.1575837864974
Gràcia;41.3997143;2.1520847;2932.0437207890423
Cornellà Centre;41.3573028;2.0705523;6745.423840797224
Girona;41.3950237;2.1709596;4592.014895090427
Universitat;41.385731;2.1640978;4472.9585411516355
Sant Antoni;41.3802503;2.1633286;4761.776784468398
Barcelona - Arc de Triomf;41.3921143;2.1809092;5481.436706424324
Verdaguer;41.4000911;2.1684275;4261.7245746803155
Aeroport T1;41.2882946;2.0711647;13686.502702614538
Aeroport T2;41.3038276;2.0726343;12004.591283656899
Molí Nou | Ciutat Cooperativa;41.3575245;2.0352776;8799.482567219782
Diagonal;41.3959412;2.1599423;3681.179560719766
Provença;41.3928741;2.157979;3651.4747305944775
Hospital de Bellvitge;41.3446499;2.1072007;6911.700295882383
El Coll | La Teixonera;41.4216569;2.1493621;3115.929712390905
Baró de Viver;41.4499467;2.1995389;8351.832052928536
Bellvitge Rambla Marina;41.3509646;2.1109354;6178.991005660442
Avinguda Carrilet;41.3589129;2.102483;5427.194160177642
Can Serra;41.3676843;2.1027358;4481.841037073295
Florida;41.3683228;2.1098316;4278.533142488117
Torrassa;41.3684057;2.1166305;4214.388006807247
Santa Eulàlia;41.3687993;2.1286052;4259.6544472426285
Hostafrancs;41.3752424;2.143419;4048.9565225350866
Plaça de Sants;41.3753756;2.1379127;3815.360095030703
Espanya;41.3754812;2.1493272;4306.398070840158
Rocafort;41.3792368;2.1545732;4282.665513678145
Artigues | Sant Adrià;41.4337214;2.2175726;8851.312393090591
Plaça de Catalunya (FGC);41.3857937;2.1683846;4781.183249932144
Plaça Espanya;41.3747456;2.1488327;4347.145697652218
Sant Josep;41.3609506;2.1103613;5082.301653477426
Llucmajor-República;41.4369792;2.1733739;5736.026913310722
La Sagrera (L1);41.4226234;2.1870242;6036.4325402939885
La Sagrera (L9N-L10);41.4204532;2.1867491;5946.53532825638
La Sagrera (L5);41.4212221;2.186586;5956.486688709223
Virrei Amat;41.4295936;2.1749989;5409.893730308534
Sagrada Família;41.4040622;2.173924;4671.228300353836
Sagrada Família;41.4039801;2.1751136;4771.05189947262
Fondo (L9);41.4516735;2.2184075;9777.29366607315
Fondo (L1);41.4515878;2.2183919;9771.281645165891
Fabra i Puig;41.4297809;2.1836388;6063.271791655006
Torras i Bages;41.4431273;2.1907138;7314.352300816816
Reina Elisenda;41.3987898;2.119034;841.309884944737
Catalunya;41.3865465;2.170084;4868.216070565793
Can Peixauet;41.4444722;2.2102857;8790.262877180634
Can Zam;41.4576792;2.1984935;8810.397628040679
Singuerlín;41.459458;2.2055928;9393.41936622066
Liceu;41.3813959;2.1730711;5364.277435242707
Badalona Pompeu Fabra;41.4489607;2.2442207;11553.290984195035
Església Major;41.4547585;2.2124022;9539.31375810861
Pep Ventura;41.4439389;2.2380518;10858.810873353083
Mas Blau;41.3113187;2.0734222;11196.425135290518
Parc Nou;41.3166593;2.0873951;10286.389543273383
Cèntric;41.3218206;2.0935517;9609.109654518194
Parc Logístic;41.3417575;2.1280783;7220.076548889221
Fira;41.3519228;2.130679;6133.428544649715
Europa-Fira;41.3572488;2.1256902;5488.033182798
Can Tries - Gornal;41.3607212;2.1181989;5065.942595788397
