;propertyCode;Centro_comercial;Centro_comercial_distancia;cinema;distancia_cinema;Parque;Parque_distancia;Gimnasio ;Gimnasio _distancia;Supermercado;Supermercado_distancia;Teatro ;Teatro _distancia;farmacia_mas_cercana;distancia_farmacias;Escuelas;escuelas_distancia
0;99117414;El Corte Inglés;412.42790117584747;Comedia;473.7764081566829;;343.50042177737225;Cosmofit;104.8295229154425;Coaliment;100.77585266627617;Teatre Tívoli;325.93701295127033;Farmàcia Bouffard Fita, Carina;95.14303644759438;Jesuïtes Casp - Sagrat Cor de Jesús;137.68590900613157
1;101300670;Muji;770.5486322167436;Cinemes Girona;500.5204454264504;;123.64436470884375;;193.7234026485535;Suma;336.94490055129575;Microteatre Barcelona;702.5929855516749;Farmàcia Valls Julia;43.980340758419366;St. Nicholas School;149.68745369231183
2;104772587;Muji;540.3617767202271;Aribau Multicines;146.1454106457707;;237.00914995604435;Holmes Place;182.75376357258983;Primaprix;153.4729393823881;Teatre Muntaner;368.1113261606442;Farmàcia Feriche Bartra, Ivone;101.14660333793286;Perez Iborra;260.924779516106
3;100770574;Galeries Maldà;824.0102209890225;Cinema Maldà;781.7031494814275;;133.4842474716035;Ashtanga Yoga Shala;564.0460510415646;Covirán;61.49694928145089;La Puntual;130.48987065391242;Farmàcia Úbeda Fernández, Nieves;48.3531631335066;Escola Tècnico-Professional Xavier;320.77624734112004
4;105932101;El Corte Inglés;681.6741868693163;Cinema Maldà;731.6939175085946;;200.7247947419509;ago yoga;331.44279338811776;Charter;28.021050883737704;L'Antic Teatre;243.80182662243504;;120.15877513268497;La Salle Comtal;227.66725429644745
5;102267096;Centre Comercial Encants Nous;921.6593783020564;Phenomena;1392.4491704764562;;156.86332266886444;Let's Fly;298.26442700241324;Lidl;93.35011486997368;Sala 2 Oriol Martorell;676.6414100895596;Farmàcia Galcerà Monné, M. Elena i Rosa;106.79669597804514;Institut Angeleta Ferrer;158.45843658025294
6;89312621;El Corte Inglés;1458.3014049592496;Gran Sarria Multicines;1056.503750357358;;364.3475871180878;;758.7425831534518;Condis;426.347969566873;;522.2286307054866;Farmàcia Castro Garnelo, M. Ariadna;164.64842505637102;Col·legi Reial Monestir de Santa Isabel;370.9652369268932
7;104038296;Muji;637.2363223943179;Comedia;623.0402703580402;;194.12952308205905;Programa COS pro inertia;149.68926265532122;Mercadona;130.47542175827664;Taller Masriera;283.759577176451;Farmàcia Alarcón Ruíz, M. Lluïsa i Andreu;51.95466048034411;Centre Educatiu Santa Anna - Eixample;237.8269207219097
8;95269529;El Corte Inglés;486.9479426391242;Comedia;725.7809511070689;;318.7042296132336;Holmes Place;136.65048151437315;Caprabo;145.06646192368893;Teatre Borràs;291.76010558340613;Farmàcia Veciana García-Boente;76.9689090065004;Mare del Diví Pastor;285.3874819454828
9;103898736;UME Muntaner Unió Musical;550.1746135567687;Cinesa Diagonal;620.577888047691;;398.1777467519652;Àrea Pilates Barcelona;465.6227527718324;Plusfresc;188.67694529027392;La Gleva;870.6411559322592;Farmàcia Pallarés Pérez, Montserrat;24.17042153211973;Escola Augusta;141.8337027640732
10;104171277;Muji;944.329152542452;Gran Sarria Multicines;344.9056457425878;;288.979139276474;;759.4528205171957;Ametller Origen;248.4215455389077;;651.4845024460158;Farmàcia Rotllan Vilalta;122.61178348033614;Santa Teresa - Ganduxer;285.3090205326512
11;99411495;tokomusic;254.29402399888613;Cinema Maldà;391.75084593748153;;101.08810904009476;Yoga Weeks Barcelona;97.20512222793488;Dia;75.80702615426036;Teatre Romea;181.4903729064726;Farmàcia Mas Docampo, Montserrat;32.104121512661294;Escola Massana;133.63978384355096
12;97908823;DISTAR centres del descans;1023.7053951775816;Cinemes Boliche;569.1003356484542;;499.5070926854787;Brooklyn Fitboxing;174.61278802372473;Al-Amin;139.26371874151002;Jove Teatre Regina;259.3336390171289;La Farmàcia dels Jardinets;76.02449682811526;Escola Patronat Domenech;152.43644871795337
13;101660330;Galeries Maldà;213.30535641867868;Cinema Maldà;188.4919193780128;;246.61841463982208;Centre Esportiu Municipal Colom;475.3570232332536;MiAlcampo;188.26678667701697;Gran Teatre del Liceu;289.965206588822;Farmàcia Guilera Barba, Marc;47.19427915028202;Escuela de Artes Aplicadas y Oficios Antiguos;288.7527599327855
14;100923748;Galeries Maldà;552.212835409004;Cinema Maldà;524.8633770933752;;53.37494429369607;Centre Esportiu Municipal Colom;331.8902771496698;Dia Market;47.96061926138088;Tablao Flamenco Cordobes;381.9199443309142;Farmàcia Casanelles Martí, M. Teresa;30.959665026473083;Escuela de Artes Aplicadas y Oficios Antiguos;53.02919145240918
15;105200359;UME Muntaner Unió Musical;365.4029742905501;Cinemes Boliche;614.2087726772714;;241.34592639882524;Nytta;128.90505241497823;Dia;56.530205275785136;Teatre Akademia;363.6949543436782;Farmàcia Penella Peris, Rosa;108.08238524468705;Escola Infant Jesús;193.5414663290316
