propertyCode;url;floor;propertyType;size;exterior;rooms;bathrooms;hasLift;hasStaging;hasParkingSpace;hasSwimmingPool;hasTerrace;hasAirConditioning;hasBoxRoom;hasGarden;zip_code;priceDropValue;price;Centro_comercial;Centro_comercial_distancia;cinema;distancia_cinema;Parque;Parque_distancia;Gimnasio ;Gimnasio _distancia;Supermercado;Supermercado_distancia;Teatro ;Teatro _distancia;farmacia_mas_cercana;distancia_farmacias;Escuelas;escuelas_distancia
99117414;https://www.idealista.com/inmueble/99117414/;1;flat;114.0;False;3;2;True;False;False;No data;True;True;No data;No data;8010;60000.0;1600000.0;El Corte Inglés;412.42790117584747;Comedia;473.7764081566829;;343.50042177737225;Cosmofit;104.8295229154425;Coaliment;100.77585266627617;Teatre Tívoli;325.93701295127033;Farmàcia Bouffard Fita, Carina;95.14303644759438;Jesuïtes Casp - Sagrat Cor de Jesús;137.68590900613157
101300670;https://www.idealista.com/inmueble/101300670/;1;flat;202.0;True;3;2;False;False;False;No data;No data;No data;No data;No data;8008;70000.0;1580000.0;Muji;770.5486322167436;Cinemes Girona;500.5204454264504;;123.64436470884375;;193.7234026485535;Suma;336.94490055129575;Microteatre Barcelona;702.5929855516749;Farmàcia Valls Julia;43.980340758419366;St. Nicholas School;149.68745369231183
104772587;https://www.idealista.com/inmueble/104772587/;4;penthouse;156.0;True;2;2;True;False;False;No data;True;No data;No data;No data;8007;117000.0;980000.0;Muji;540.3617767202271;Aribau Multicines;146.1454106457707;;237.00914995604435;Holmes Place;182.75376357258983;Primaprix;153.4729393823881;Teatre Muntaner;368.1113261606442;Farmàcia Feriche Bartra, Ivone;101.14660333793286;Perez Iborra;260.924779516106
100770574;https://www.idealista.com/inmueble/100770574/;1;flat;129.0;True;1;2;True;True;False;No data;No data;No data;No data;No data;8003;No data;870000.0;Galeries Maldà;824.0102209890225;Cinema Maldà;781.7031494814275;;133.4842474716035;Ashtanga Yoga Shala;564.0460510415646;Covirán;61.49694928145089;La Puntual;130.48987065391242;Farmàcia Úbeda Fernández, Nieves;48.3531631335066;Escola Tècnico-Professional Xavier;320.77624734112004
105932101;https://www.idealista.com/inmueble/105932101/;3;flat;91.0;True;1;1;True;False;False;No data;True;No data;No data;No data;8003;No data;495000.0;El Corte Inglés;681.6741868693163;Cinema Maldà;731.6939175085946;;200.7247947419509;ago yoga;331.44279338811776;Charter;28.021050883737704;L'Antic Teatre;243.80182662243504;;120.15877513268497;La Salle Comtal;227.66725429644745
102267096;https://www.idealista.com/inmueble/102267096/;1;flat;183.0;True;6;2;True;True;False;No data;No data;True;No data;No data;8013;No data;800000.0;Centre Comercial Encants Nous;921.6593783020564;Phenomena;1392.4491704764562;;156.86332266886444;Let's Fly;298.26442700241324;Lidl;93.35011486997368;Sala 2 Oriol Martorell;676.6414100895596;Farmàcia Galcerà Monné, M. Elena i Rosa;106.79669597804514;Institut Angeleta Ferrer;158.45843658025294
89312621;https://www.idealista.com/inmueble/89312621/;5;flat;229.0;True;5;4;True;True;False;True;True;No data;No data;True;8034;No data;1699000.0;El Corte Inglés;1458.3014049592496;Gran Sarria Multicines;1056.503750357358;;364.3475871180878;;758.7425831534518;Condis;426.347969566873;;522.2286307054866;Farmàcia Castro Garnelo, M. Ariadna;164.64842505637102;Col·legi Reial Monestir de Santa Isabel;370.9652369268932
104038296;https://www.idealista.com/inmueble/104038296/;3;flat;128.0;True;2;2;True;True;False;No data;No data;No data;No data;No data;8009;No data;895000.0;Muji;637.2363223943179;Comedia;623.0402703580402;;194.12952308205905;Programa COS pro inertia;149.68926265532122;Mercadona;130.47542175827664;Taller Masriera;283.759577176451;Farmàcia Alarcón Ruíz, M. Lluïsa i Andreu;51.95466048034411;Centre Educatiu Santa Anna - Eixample;237.8269207219097
95269529;https://www.idealista.com/inmueble/95269529/;8;penthouse;121.0;True;2;2;True;True;False;No data;True;True;No data;No data;8010;No data;949000.0;El Corte Inglés;486.9479426391242;Comedia;725.7809511070689;;318.7042296132336;Holmes Place;136.65048151437315;Caprabo;145.06646192368893;Teatre Borràs;291.76010558340613;Farmàcia Veciana García-Boente;76.9689090065004;Mare del Diví Pastor;285.3874819454828
103898736;https://www.idealista.com/inmueble/103898736/;7;flat;493.0;True;7;7;True;True;False;No data;True;No data;No data;No data;8021;No data;3900000.0;UME Muntaner Unió Musical;550.1746135567687;Cinesa Diagonal;620.577888047691;;398.1777467519652;Àrea Pilates Barcelona;465.6227527718324;Plusfresc;188.67694529027392;La Gleva;870.6411559322592;Farmàcia Pallarés Pérez, Montserrat;24.17042153211973;Escola Augusta;141.8337027640732
104171277;https://www.idealista.com/inmueble/104171277/;4;penthouse;365.0;True;5;6;True;True;False;No data;True;No data;No data;True;8022;No data;1900000.0;Muji;944.329152542452;Gran Sarria Multicines;344.9056457425878;;288.979139276474;;759.4528205171957;Ametller Origen;248.4215455389077;;651.4845024460158;Farmàcia Rotllan Vilalta;122.61178348033614;Santa Teresa - Ganduxer;285.3090205326512
99411495;https://www.idealista.com/inmueble/99411495/;No data;flat;165.0;True;4;3;True;True;False;No data;No data;True;No data;No data;8001;No data;1040000.0;tokomusic;254.29402399888613;Cinema Maldà;391.75084593748153;;101.08810904009476;Yoga Weeks Barcelona;97.20512222793488;Dia;75.80702615426036;Teatre Romea;181.4903729064726;Farmàcia Mas Docampo, Montserrat;32.104121512661294;Escola Massana;133.63978384355096
97908823;https://www.idealista.com/inmueble/97908823/;2;flat;210.0;True;7;2;True;True;False;No data;No data;No data;No data;No data;8008;No data;1300000.0;DISTAR centres del descans;1023.7053951775816;Cinemes Boliche;569.1003356484542;;499.5070926854787;Brooklyn Fitboxing;174.61278802372473;Al-Amin;139.26371874151002;Jove Teatre Regina;259.3336390171289;La Farmàcia dels Jardinets;76.02449682811526;Escola Patronat Domenech;152.43644871795337
101660330;https://www.idealista.com/inmueble/101660330/;2;flat;126.0;True;2;2;True;True;False;No data;No data;No data;No data;No data;8002;No data;799000.0;Galeries Maldà;213.30535641867868;Cinema Maldà;188.4919193780128;;246.61841463982208;Centre Esportiu Municipal Colom;475.3570232332536;MiAlcampo;188.26678667701697;Gran Teatre del Liceu;289.965206588822;Farmàcia Guilera Barba, Marc;47.19427915028202;Escuela de Artes Aplicadas y Oficios Antiguos;288.7527599327855
100923748;https://www.idealista.com/inmueble/100923748/;2;flat;300.0;True;7;3;True;True;False;No data;No data;No data;No data;No data;8002;No data;1490000.0;Galeries Maldà;552.212835409004;Cinema Maldà;524.8633770933752;;53.37494429369607;Centre Esportiu Municipal Colom;331.8902771496698;Dia Market;47.96061926138088;Tablao Flamenco Cordobes;381.9199443309142;Farmàcia Casanelles Martí, M. Teresa;30.959665026473083;Escuela de Artes Aplicadas y Oficios Antiguos;53.02919145240918
105200359;https://www.idealista.com/inmueble/105200359/;2;flat;82.0;False;2;1;True;True;False;No data;No data;True;No data;No data;8021;No data;730000.0;UME Muntaner Unió Musical;365.4029742905501;Cinemes Boliche;614.2087726772714;;241.34592639882524;Nytta;128.90505241497823;Dia;56.530205275785136;Teatre Akademia;363.6949543436782;Farmàcia Penella Peris, Rosa;108.08238524468705;Escola Infant Jesús;193.5414663290316
104395845;https://www.idealista.com/inmueble/104395845/;24;flat;134.0;True;3;2;True;False;False;No data;True;No data;No data;True;8019;No data;1850000.0;Centre Comercial Diagonal Mar;398.581610776842;Cinesa;444.021387265359;;73.37676749905022;Cross Fit Sant Marti;999.42495523679;Alcampo;380.5855688150252;Casino l'Aliança del Poblenou;1641.5315970566903;Farmàcia Bouffard Fita, Fernando;279.3727486365771;Escola Joaquim Ruyra;603.5328638330946
104104070;https://www.idealista.com/inmueble/104104070/;No data;chalet;274.0;False;4;2;False;False;False;No data;True;No data;No data;True;8004;No data;2000000.0;Galerías Olimpia;381.4992116142941;Filmoteca de Catalunya;811.5792618914386;;264.37913575466416;Altafit;406.1470284324456;Condis;48.50303302888539;Espai Piluso;186.08522675822303;Farmàcia Catafal Llora, Lourdes;35.7615026220947;Escola Poble-sec;323.8335563604539
104300966;https://www.idealista.com/inmueble/104300966/;2;flat;158.0;False;3;2;True;False;False;No data;True;No data;No data;True;8009;No data;1428000.0;Muji;563.1112315070006;Cinemes Girona;545.2537136155132;;471.3237054521543;Áccura Bruc;127.89296083728404;Spar;88.12768862172807;Taller Masriera;646.4738793165213;Antigua Farmacia Robert;52.75013807705572;Prat;147.2378235106104
85492220;https://www.idealista.com/inmueble/85492220/;2;flat;257.0;True;4;4;True;False;False;No data;True;No data;No data;True;8034;No data;2500000.0;El Corte Inglés;2094.903915014374;Gran Sarria Multicines;2821.673530997117;;521.581944560635;;1071.6908656239962;Alimentació Pons;444.9922879544947;Centre Parroquial de Sant Vicenç de Sarrià;1810.2228416080443;Farmàcia Tous Trepat;356.39534592416084;Escola Santíssima Trinitat;45.62163979267886
104301010;https://www.idealista.com/inmueble/104301010/;4;duplex;145.0;False;2;2;True;False;False;No data;True;No data;No data;True;8007;No data;2188000.0;Muji;269.67159106881815;Comedia;403.5838735951825;;559.4726285866952;Espai de meditació;407.4394796653367;UK Supermercat;12.659154471364134;Coliseum;460.0054400157469;Farmàcia Núria Massot Moner;51.25948173715391;Col·legi Lestonnac;109.62628667647742
100973297;https://www.idealista.com/inmueble/100973297/;16;penthouse;135.0;True;2;2;True;False;False;No data;True;No data;No data;No data;8071;No data;1900000.0;Galaxia;502.440321694553;Cinesa;1714.3392643371742;;97.98161367948832;9a Poblenou;536.2803277773476;Condis;280.02344514798034;Casino l'Aliança del Poblenou;561.7981413067176;Farmàcia Díez Pérez, Marta;279.066361434364;Escola La Mar Bella;445.1991577684919
104300820;https://www.idealista.com/inmueble/104300820/;bj;duplex;192.0;False;2;3;True;False;False;No data;True;No data;No data;True;8008;No data;2188000.0;Muji;560.3107667204483;Cinemes Girona;638.5815846732357;;298.9539913886342;;399.741701444844;UK Supermercat;315.36418686835515;Coliseum;702.5231541998958;Farmàcia 1896;120.6683594796672;Shalom;273.90730251327614
103375251;https://www.idealista.com/inmueble/103375251/;1;flat;99.0;False;3;2;True;False;False;No data;No data;True;No data;No data;8010;No data;1250000.0;El Corte Inglés;542.5694940060424;Cinema Maldà;833.9193616577259;;462.4166442073847;ago yoga;47.00149380524067;Mercadona;32.594988261446886;Teatre Borràs;276.1846727958496;Farmàcia Aguilar Pérez, M. Francisca;75.26832056003043;La Salle Comtal;285.3033850858313
104674961;https://www.idealista.com/inmueble/104674961/;7;duplex;147.0;True;4;2;True;False;False;No data;True;No data;No data;True;8024;No data;620000.0;DISTAR centres del descans;492.8156473476524;Verdi Park Barcelona;303.1393006655973;;258.49528612213965;l'Espiral;57.54033926599995;Condis;46.784772964326926;Golem's;221.2826353552929;Farmàcia Benedicto López, Mercè;93.59490168154169;Escola Joan Triadú;52.72402295030408
101806580;https://www.idealista.com/inmueble/101806580/;4;flat;260.0;True;5;5;True;False;False;No data;No data;No data;No data;No data;8007;No data;3500000.0;Muji;240.4529936472028;Comedia;101.247625751566;;491.1523636774768;Gimnasio McFit;243.74839086543352;Aldi;215.72731797482507;City Hall;98.52900371961026;Farmàcia Espona Meseguer, Núria;122.4398656977077;Escola Pia de Nostra Senyora;308.96040335644483
104301658;https://www.idealista.com/inmueble/104301658/;1;duplex;605.0;True;5;3;False;False;False;No data;True;No data;No data;No data;8003;No data;2500000.0;Galerias Maldà;396.0405321016379;Cinema Maldà;394.39291441131314;;142.4575405122955;Holmes Place;406.45211145875993;Coaliment;49.40632882746664;Palau de la Música Catalana;113.3581989990389;Farmàcia Moragrega Estrany, L - Rojas Estrany, ME;38.20300993260256;La Salle Comtal;170.82639211433295
