district,neighborhood,zip_code,counts
Bellvitge,Bellvitge,8902,9
Bellvitge,Bellvitge,8907,59
Bellvitge,Bellvitge,8991,6
Can Serra - Pubilla Cases,Can Serra,8096,2
Can Serra - Pubilla Cases,Can Serra,8901,4
Can Serra - Pubilla Cases,Can Serra,8906,22
Can Serra - Pubilla Cases,Pubilla Cases,8905,15
Can Serra - Pubilla Cases,Pubilla Cases,8906,290
Can Serra - Pubilla Cases,Pubilla Cases,8950,6
Casagemes - Canyadó,Canyadó,8911,1
Casagemes - Canyadó,Casagemes,8911,4
Casagemes - Canyadó,Casagemes,8915,1
Casagemes - Canyadó,Manresa,8911,7
Centre,Carretera del Mig,8901,2
Centre,Carretera del Mig,8907,1
Centre,Carretera del Mig,8940,1
Centre,Carretera del Mig,8991,4
Centre,Centre,8801,33
Centre,Centre,8901,45
Centre,Centre,8940,4
Centre,Sanfeliu,8096,6
Centre,Sanfeliu,8801,1
Centre,Sant Josep,8901,50
Centre,Sant Josep,8902,1
Centre,Sant Josep,8904,12
Centre,Sant Josep,8905,15
Centre,Sant Josep,8907,1
Centre,Sant Josep,8991,57
Ciutat Vella,El Gòtic,8001,9
Ciutat Vella,El Gòtic,8002,106
Ciutat Vella,El Gòtic,8003,6
Ciutat Vella,El Gòtic,8007,1
Ciutat Vella,El Gòtic,8010,3
Ciutat Vella,El Raval,8001,60
Ciutat Vella,El Raval,8002,15
Ciutat Vella,El Raval,8004,1
Ciutat Vella,El Raval,8011,3
Ciutat Vella,El Raval,8015,2
Ciutat Vella,La Barceloneta,8003,31
Ciutat Vella,La Barceloneta,8039,2
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,8002,7
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,8003,77
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,8010,10
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,8018,2
Collblanc,Collblanc,8028,4
Collblanc,Collblanc,8094,30
Collblanc,Collblanc,8903,7
Collblanc,Collblanc,8904,181
Collblanc,Collblanc,8905,12
Eixample,El Fort Pienc,8003,2
Eixample,El Fort Pienc,8010,3
Eixample,El Fort Pienc,8013,22
Eixample,El Fort Pienc,8018,3
Eixample,L'Antiga Esquerra de l'Eixample,8006,2
Eixample,L'Antiga Esquerra de l'Eixample,8007,11
Eixample,L'Antiga Esquerra de l'Eixample,8008,5
Eixample,L'Antiga Esquerra de l'Eixample,8011,47
Eixample,L'Antiga Esquerra de l'Eixample,8013,2
Eixample,L'Antiga Esquerra de l'Eixample,8021,3
Eixample,L'Antiga Esquerra de l'Eixample,8025,1
Eixample,L'Antiga Esquerra de l'Eixample,8029,6
Eixample,L'Antiga Esquerra de l'Eixample,8036,38
Eixample,La Dreta de l'Eixample,8001,1
Eixample,La Dreta de l'Eixample,8002,2
Eixample,La Dreta de l'Eixample,8003,1
Eixample,La Dreta de l'Eixample,8006,1
Eixample,La Dreta de l'Eixample,8007,65
Eixample,La Dreta de l'Eixample,8008,44
Eixample,La Dreta de l'Eixample,8009,67
Eixample,La Dreta de l'Eixample,8010,77
Eixample,La Dreta de l'Eixample,8011,1
Eixample,La Dreta de l'Eixample,8013,26
Eixample,La Dreta de l'Eixample,8025,1
Eixample,La Dreta de l'Eixample,8036,2
Eixample,La Dreta de l'Eixample,8037,33
Eixample,La Nova Esquerra de l'Eixample,8011,1
Eixample,La Nova Esquerra de l'Eixample,8014,2
Eixample,La Nova Esquerra de l'Eixample,8015,17
Eixample,La Nova Esquerra de l'Eixample,8029,32
Eixample,La Nova Esquerra de l'Eixample,8036,5
Eixample,La Sagrada Família,8013,22
Eixample,La Sagrada Família,8025,41
Eixample,La Sagrada Família,8026,2
Eixample,Sant Antoni,8001,1
Eixample,Sant Antoni,8004,2
Eixample,Sant Antoni,8011,9
Eixample,Sant Antoni,8015,27
