Marca temporal;Dirección de correo electrónico;distrito_1;distrito_2;farmacias;hospitales;escuelas;supermercados;gimnasio;cinema;centros_comerciales;restaurantes;parques;tipo_vivienda;budget;tamaño;rooms;bathrooms;caracteristicas;edad;estudios;ingresos;air_conditioning;terrace;garden;parking;swimming_pool;booxroom
1/01/2025 14:47:56;gAAAAABntitLEjhM_JRquto3FAhmLyiL7uQ0RYtKv3JKTZwKYxv8yA6K6WZLhqKbR4Vypirw0FUgUR9-jaMhq6zLpW3T-oXakS8h0eceZ7hFdzgLYJMK1cMrm20ukMkPlWK5CS5XyVLY;Diagonal Mar i el Front Marítim del Poblenou;La Vila Olímpica del Poblenou;5.0;5.0;5.0;4.0;5.0;3.0;2.0;4.0;5.0;flat;450000;100.0;4.0;2;air_conditioning, terrace, terrace, parking, swimming_pool;35-40;Estudios universitarios / Graduate degree;30000 - 40000;True;True;False;True;True;False
5/01/2025 17:52:49;gAAAAABntitL5uoLXQrOd1nA-Yda0j_6SKLVU-RRO5Y6PtNNFXd6BQoNNKk9K8DAwEV3nJTF8srXewPVRJeNJdQofPc4VqfD9Y7vh-i6UnWGPWn5VkaujL8=;El Poblenou;Vila de Gràcia;5.0;2.0;1.0;5.0;2.0;1.0;3.0;3.0;0.0;flat;250000;60.0;2.0;1;air_conditioning, terrace, parking, booxroom;40-45;Doctorado / Doctorate;60000 - 70000;True;True;False;True;False;True
5/01/2025 18:11:32;gAAAAABntitLxSe9dJcFAmqtLdCV30wC5JUmwz93Tx1J0aYJ9NUddwmxxLueTWl0rWKtRbgvU_IFkgipb84w7n4dTEdjSd3raUuUoBLrSJKvMyL5pt4vHpE=;La Salut Badalona;Les Corts;4.0;1.0;2.0;5.0;4.0;2.0;3.0;3.0;0.0;flat;250000;60.0;2.0;1;air_conditioning, terrace, parking, booxroom;35-40;Master;40000 - 50000;True;True;False;True;False;True
5/01/2025 18:57:10;gAAAAABntitLlo1uZzeFE3MmSgCJgO-1KNGI-edsbwsB56OfsWSCoZefHgRgCpgbtu27sI-EylQPmmB0whO-_theKo8f2M--ujXP3fOE2ebcEtvdd2ycC20=;Les Corts;Sant Antoni;4.0;4.0;0.0;5.0;5.0;5.0;4.0;5.0;0.0;flat;300000;100.0;3.0;2;air_conditioning, terrace, garden, parking, swimming_pool, booxroom;45-50;Master;> 100k;True;True;True;True;True;True
5/01/2025 19:36:42;gAAAAABntitLihwCUNo1jJ52SNCjYw_YqRH8CdVC7TL_GB23-jHCqHkHhxp-8Pd7-1W5w06rC7o7NrLc5eaij_y9rSR8ppHNH6O1uRRTpPhJ0bJIbYn8Ryg=;La Pau;Sant Roc;5.0;2.0;1.0;5.0;5.0;1.0;1.0;1.0;1.0;duplex;350000;80.0;2.0;2;air_conditioning, terrace, parking, swimming_pool, booxroom;35-40;Doctorado / Doctorate;40000 - 50000;True;True;False;True;True;True
6/01/2025 11:15:21;gAAAAABntitL4O5eu3Q70D0WtzmvddTzkeuEQ8dPmMxrc_qvu22EsUIbDbTsGp7WOLayMK6iDo2_wM05oxe7XDr0n02_TAttKdtqogTfToJQmahuc0eEAIs=;La Trinitat Nova;La Salut Badalona;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;flat;75000;90.0;3.0;2;air_conditioning, terrace, terrace, parking, swimming_pool, booxroom;40-45;Master;10000 - 20000;True;True;False;True;True;True
6/01/2025 11:22:37;gAAAAABntitL00reFvgs8Ti4IMDLxvjb1X8Ulj1PCV1tvcfX3Mfg4JIra5BsI9AdAiDsuwaVkCESUC3wskIurPNU8efRiXANlGSvYNXHwV0mBq48wZKW0Ns=;Vila de Gràcia;La Dreta de l'Eixample;5.0;3.0;3.0;5.0;3.0;4.0;2.0;5.0;3.0;flat;75000;70.0;2.0;2;terrace, parking;35-40;Doctorado / Doctorate;40000 - 50000;False;True;False;True;False;False
6/01/2025 11:39:27;gAAAAABntitLYAAztVk77WMmY1C6tw3_dZIr6hpAWzBfqJwwi-bcCUR13o-TcbtkVjXAh8waZCCLhZzmXLtbL-cLmIzU9Tb9Oe4sFlr8Y7LVWrxvughvTZ0=;Pedralbes;Sant Andreu;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;flat;150000;100.0;3.0;2;air_conditioning, terrace, terrace, parking;40-45;Estudios universitarios / Graduate degree;20000 - 30000;True;True;False;True;False;False
6/01/2025 11:40:56;gAAAAABntitLbdUAobV7NdKZS_kYFPulFtQx9QJxbGzmWnJfu3p_mS82yqgVgXtWT8klMHUXkpOn3gRN1kAUvH_BxpDvsl89ducXRSHiykESeVq-n4IDXYM=;Manresa Badalona;La Pau;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;penthouse;125000;80.0;2.0;1;air_conditioning, terrace;30-35;Master;20000 - 30000;True;True;False;False;False;False
6/01/2025 11:54:04;gAAAAABntitLj7d9RaAzp6T4Wuiy9Ta2WMykypjyaPQRfGsIUXrYFk-2980u2qeL1JEZOqx1K8Ao7-3tEq8qf9A2qtTFa94A_siSkcrn04hk6G7YD02m5JE=;Pedralbes;El Fort Pienc;1.0;1.0;0.0;2.0;1.0;2.0;0.0;2.0;0.0;chalet;125000;90.0;2.0;2;air_conditioning, terrace, terrace, garden, parking, booxroom;35-40;Doctorado / Doctorate;40000 - 50000;True;True;True;True;False;True
