properties.name;latitude;longitude
Eroski;2.0112952;41.2688839
Alcampo;2.0896983;41.5285035
Petit Preu;1.8441708;42.0998806
Caprabo;1.8533905;42.1035448
Super Pedret;1.8577599;42.1028414
Carrefour Market;2.6922148;41.629379
Carrefour;2.2842318;41.5960006
Lidl;2.0271622;41.5466314
Caprabo;1.6259704;41.5850491
Bonpreu;2.1291803;41.4879383
Mercadona;1.6365976;41.5745382
Open Cor;2.1256514;41.3910021
Condis;2.1844077;41.4901952
Carrefour;2.2697096;41.6638964
Caprabo;2.3224366;41.5895605
Proxim;2.232739;41.638688
Reyes;2.2329342;41.6393327
Condis;2.2380623;41.6130443
Caprabo;2.0176174;41.4114165
Dia;1.6069816;41.5726385
Schleker;1.6087842;41.5737958
Consum;1.608323;41.5741404
Caprabo;1.6076849;41.5745607
Condis;2.1747937;41.4468135
Consum;2.1780626;41.4416041
Mercadona;2.1804956;41.4375701
Mercat Ambulant Pla d' en Boet;2.4319513;41.53179
Mercat privat de Cerdanyola;2.4233525;41.5356736
Mercat privat el Pilar;2.4317269;41.5368336
Mercat Ambulant de Cirera Molins;2.4403894;41.5491815
Ambulant de l' Escorxador;2.453017;41.5450153
Tapias;2.6906113;41.6237546
Caprabo;2.6885617;41.6259995
;2.0867729;41.5755891
Condis;2.0896572;41.5008261
Mercadona;2.0899394;41.3196946
Mercadona;2.1314448;41.376111
Carrefour;2.2276514;41.4563057
Consum;2.1311301;41.3755969
Dia;2.1668348;41.373761
Condis;2.1352817;41.3761509
Vilagut;2.1846144;41.4909113
Dia;2.1488058;41.3901775
Alcampo;2.2303008;41.4262035
Condis;2.2511798;41.452488
Sorli Discau;2.2498648;41.4533342
Caprabo;2.2924051;41.4938354
Caprabo;2.1704622;41.3789612
Lidl;2.1974089;41.4127914
Bonpreu;2.1967739;41.4124433
Supercor;2.1961625;41.4119681
Condis;2.2020633;41.4138911
Caprabo;2.2189701;41.4404846
Condis;2.2191905;41.4416457
;2.0220605;41.4144932
Suma;2.2168542;41.4381799
Condis;2.1725927;41.4457676
Mercadona;2.1991561;41.4023418
Caprabo;2.1452028;41.4023154
Consum;2.1456319;41.4024683
;2.0806464;41.3828116
Caprabo;2.0306409;41.3510901
Mercadona;1.9607952;41.4546374
Condis;2.1717527;41.3796645
Jespac;2.1567295;41.3896126
Condis;2.16436;41.3747729
;2.2347458;41.5734724
Caprabo;2.1889995;41.3806017
Can Serrat;2.3929808;41.5040925
Condis;2.387634;41.5012604
Condis;2.3897327;41.5052857
Caprabo;2.1242464;41.3952853
Condis;2.0157145;41.4139175
Caprabo;2.0877751;41.4795648
Dia;2.1707589;41.4170257
Covirand;2.17028;41.4166857
Mercadona;2.0870803;41.371244
Covirán;2.0926803;41.3645175
Sorli;2.3802017;41.4985225
Mercadona;2.194425;41.4107728
Supermercat Pintor Fortuny;2.16861;41.3823171
Caprabo;2.0858614;41.3750143
Bon Area;2.0861552;41.5552727
Mercadona;1.9856994;41.2819318
Can Bassa;2.2229821;41.6559559
Caprabo;1.8138661;41.2490468
Lidl;1.8125626;41.2472722
ALDI;1.8112316;41.2477618
Bonpreu;1.8079194;41.2369426
Congelats la Sirena;2.0204921;41.563923
Bonpreu;2.2861673;41.6856877
Shlecker;2.2860368;41.6874522
Dia;2.144398;41.3861533
Consum;2.1442296;41.3869796
Caprabo;2.1454326;41.3851237
Caprabo;2.1686774;41.3761973
Dia;2.1711395;41.3826721
Supermercat Coaliment;2.1679417;41.3860999
Bon Area;2.0130826;41.5812267
ALDI;2.0234758;41.5807683
Bonpreu;2.1635248;41.4065703
BonÀrea;2.1546114;41.3887775
Spar;2.152291;41.3918433
Dia;2.1819658;41.4408242
Jespac;2.1420651;41.4114593
Mercadona;2.1252405;41.5181269
Dia;2.0955916;41.559528
Spar;2.0950766;41.5593032
Mercadona;1.8088415;41.2387489
Condis;2.0077361;41.3061407
Consum;2.0018036;41.3034718
Carrefour;2.0075937;41.2958755
Veritas;2.5416836;41.5751159
Condis;2.2157456;41.4482763
Mercadona;2.2180999;41.4493333
Consum;2.2170539;41.4461002
Consum;2.1255716;41.3771709
Consum;2.1260534;41.3793567
Condis;2.1270245;41.3780137
Caprabo;2.1293602;41.3776523
Lidl;2.1808131;41.4063957
Lidl;2.1307557;41.3741246
Mercadona;2.0049872;41.5649986
Condis;2.1695439;41.3732668
Herbodietètica Las Maravillas;2.1599276;41.4010895
Condis;2.1441562;41.4222359
;2.1625757;41.3854678
Bonpreu;2.1249657;41.3932977
Consum;1.9949498;41.3064367
Organic Market;2.1540527;41.4031304
OpenCor;2.133976;41.3947291
Dia;2.1136245;41.5103839
Jespac Supermercats;2.1603923;41.3869304
OpenCor;2.0916343;41.4717667
Condis;2.0799796;41.4720551
Congelats La Sirena;2.0887941;41.4721718
Carrefour;2.0534184;41.4821436
Sorli Discau;2.0025806;41.3075734
mini MIX;2.1850665;41.3830876
supermercat cabrils;2.3671642;41.5270917
Bon Area;2.0020148;41.3072183
Bon Area;2.151385;41.4012482
Caprabo;2.1791329;41.4303627
Congelats La Sirena;2.0070024;41.5528728
ALDI;2.0062208;41.5565611
Dia;2.2151565;41.4472031
Condis;2.1793486;41.4160116
Sorli Discau;2.1567221;41.4080772
Casa Evaristo;2.0089404;41.5633229
Mercadona;2.0774181;41.3479016
Condis;2.1571111;41.4356437
Caprabo;2.1196323;41.3749129
;2.0338152;41.5803105
Super Casanova;2.1624256;41.3824052
Condis;2.1121417;41.3771825
Mercadona;2.0876116;41.3715253
Dia;2.188448;41.3822852
Spar;2.1882542;41.3801129
Spar;2.1887534;41.3803462
Condis;2.1898797;41.3820067
Caprabo;2.0051698;41.3090468
Condis;2.182648;41.4052364
Condis;2.1883281;41.4107795
Condis;1.890426;41.5428507
;1.8920894;41.542547
Mercat Villalba;2.119519;41.3773681
Condis;2.4895148;41.6909622
Bonpreu;2.18928;41.4140368
Caprabo;2.0690083;41.3798027
Tantinyà;2.2072036;41.5376229
Mercadona;2.4890108;41.6816071
