9,Evaluación de viviendas [Vivienda 1],Evaluación de viviendas [Vivienda 2],Evaluación de viviendas [Vivienda 3],Evaluación de viviendas [Vivienda 4],Evaluación de viviendas [Vivienda 5],Evaluación de viviendas [Vivienda 6],Evaluación de viviendas [Vivienda 7],Evaluación de viviendas [Vivienda 8],Evaluación de viviendas [Vivienda 9],Evaluación de viviendas [Vivienda 10],Dirección de correo electrónico
6/2/2025 20:47:51,4,10,8,9,3,6,9,4,1,2,gAAAAABnti4JL0A6RHhB6Ygm8fZ45f25Ac5fxI95qj7w0FtaM9fh9UGVxJGU4ZbWIpDeOpI4Q-slAUkkU66Ge1ysqk-yp75GwhA8qqua8By6pY3sItWDq0kdRbqdhehlliVmyMfif-1W
6/2/2025 21:51:05,10,9,8,10,9,7,9,8,10,9,gAAAAABnti4J0peFP5ss-lZTIlS_Kvii1w8eYfe6p5TyIEccUkYeCyrY6GFhsceAlUEKxy9m36_IO8LFEwRbZQ7cD2YWnOsXuGJ4FmjQ9CySNIfE9eOqLM4=
8/2/2025 11:32:11,1,2,2,1,1,1,1,1,1,1,gAAAAABnti4JFXIaT3nh9fqADr8Kep0Ss5VMQYY7lzbCnc24T3-rpLhyA00VJt3yDUO4Dzrw8M7zQLv0Q6MKS3Xq158HSacWTH4QQpJF8ylwIsDSz1LwYRI=
9/2/2025 16:08:08,10,8,8,9,8,9,9,8,8,9,gAAAAABnti4JFbi7vHsqwQQRMKNOj7d8VljlKjRk1m84K3sowAIVG2XbFznqVuqq6PMXi4IhQmg9OFHMNEpiVT-v40qz038hDNjX6efdMSlHk2vw4anEh2A=
9/2/2025 16:21:05,7,8,6,5,3,5,5,3,9,8,gAAAAABnti4JhOiUn-J57l6mfbNr46rBefIgCDhQ3I5EsxJyLMprIrvUkXSNAzN1xX3KOy8cZjLfdK1OKZCWycAM7DZmpcqzJwrFkTXjwCDiOvglWWLJQB0=
9/2/2025 16:57:36,2,3,3,4,3,2,4,3,4,3,gAAAAABnti4JroquQzLbGmlKbQTnYu2n3Dh2CFHwBfylM6mxpNqw-exGIue3u6umf2XLMMi6zAiwkKDnCfTP1X6xaMYsA6J-LzP-veXzFyBVAcKQBQdh010=
9/2/2025 17:01:30,8,5,6,7,1,6,8,1,5,1,gAAAAABnti4JTFMW0OA9TyXDhZCnu4MIL39S3fYzcp8-jX-alOS8s5Ujzs8a8-TNVLuJy7NnvQHUubcQLsdNS1OQpzL-jKSSoCRMQ9X4H1WK16VvB3j03vg=
9/2/2025 21:26:34,9,6,6,3,4,7,8,9,3,5,gAAAAABnti4J8e2TgJkFCcTt2ndCjMo0y7YgYBR8UUNW3Z__DRMnm4xyua2scmZ2UAhu26f9WUFsfQ6z0gts8ZJ5fFUDur_dw-ROloZ8OTeDzb0mEU7zrq0=
10/2/2025 21:38:21,3,3,3,2,3,3,2,3,3,2,gAAAAABnti4Jf5emkEXFxGlj4On7YrSgGZmIVDM5X-gIwvJFD6JEyLccoulF883cRFz1yJpk8gFhSY0jIBPTN8UaKhkPqxQHcZuUQkYMs28pkjlHbfr8JFo=
10/2/2025 22:03:41,1,1,3,4,4,4,4,4,4,2,gAAAAABnti4JorZDDUGPkHLy0XXanm09JoNezFOjvx67Fuh6mTbd5ysntAu9eBOQgCq4rVQgZSgixmDznEquTKcS1CnBZj5eVCxUvdnoqyotKLOAWRfM8-g=
11/2/2025 20:18:28,3,1,1,2,2,2,1,2,1,3,gAAAAABnti4JnwNnckmGelomPvyim9HnLtE5IYSJ6DwBSpA-UN-Nvme4GCj2njFGRprGY54SzgBttoDQBArdITXJ1300fxMxkyqSOXSKwuAqPsR-6QuQxj0=
13/2/2025 14:06:11,8,9,9,7,9,8,9,8,9,9,gAAAAABnti4J6WY1jPDJirTLVjW9iLKI6wFb0h7zRI-2YrdddIwqqJ_d2-xocvTHRpM9V9USnSbC6cGYbu-McdWBniY35XeFTxs_10vKayRzXoKLxYa_938=
13/2/2025 19:18:17,2,4,8,6,3,2,8,4,7,2,gAAAAABnti4J6CCvZ20FXXN7K9ACBaSXQTjfNua5oJqYatrYFnLtA2Lc47nrOabkM7gj6-D3ICjAfCuPQCJLztSDZVVIZDIYOIYqGNJwlga_-wFWnsJUkrw=
13/2/2025 19:22:19,7,3,2,2,6,6,3,3,8,7,gAAAAABnti4Jutmv0kl78xBhS6vWweZshdVYy--Zcor8-xkCB0zl5w1SsOZarj6EQOe0D7l2qNy9iScLSzM3-911Tv1TjCOclCUte2Nm7963CXy3MchnHS4=
16/2/2025 8:50:26,8,10,7,9,8,10,7,9,6,8,gAAAAABnti4JBTXzxwbJjKf84xOiJBEb2hJDskZ7qZX9dAfEbUOey1b8hxgBF2zxCCK_xd9lRJo6YIY6pVUeYDyV0RZfkGdbOfSWkrDx6qh5bzK-oihGloo=
16/2/2025 17:12:38,6,10,7,9,7,7,3,8,2,8,gAAAAABnti4JxXePjNpgoMQ1B7l_uCUPUVRAlV366QmTw0eOZCzTXEGLkrpbIKKI7jWB8rZnVryylfDOJ3zg4vi9_zhpE32WL7H8tQYOSigmTxuotokS2PYvX6EMRpLYZeOo5DWUFNYO
16/2/2025 17:14:19,9,9,6,8,3,6,8,3,3,3,gAAAAABnti4Jr2mIHq0eDzXNSs8wY5uGMpZduuzrxgvQ1Em6iRQFcgmzgoVOHX592efMw8pbWaSh4SydFKXGMtnqxBc3ZRJXp3Jb6tWjMDBteBhcvfwS-fk=
16/2/2025 17:18:10,1,3,1,4,3,1,1,1,3,3,gAAAAABnti4Jx_HKE07SSLCA6JeRPyCpmXIz-lJRMcjHEBeUvnGXXjnpE3cCQVnQzwcwWsbvx708kuNILSCu6sBTGNcXh6gSHkwERV-TwHTCQ8iGM-4VlcI=
16/2/2025 20:16:14,4,8,4,8,3,2,3,3,1,9,gAAAAABnti4Jm9lt9VaOaLsQvJKUonzMTHe4o1eVrYHmvM4OORyNqlu3Kc3se-pnmxzC3agoxXYL_RTw3gK8_wFjEJnuVhKBFPlL_5D_FWArKbauJtUUV-o=
17/2/2025 6:44:16,8,9,8,3,7,8,9,7,9,9,gAAAAABnti4JLDW4qRGGzzEmryHQwlX2Gypy-1bSfPd4AVPxYAX6PDBXnlEhu6vq-21Xabvb9AWBAG8fhGJE5kaXHAF84s9RBaxHeU0fjYA47MT3hqZYlTs=
