municipality;district;neighborhood;zip_code;cod_distrito_censal;count
Badalona;Casagemes - Canyadó;Canyadó;8911;801505005.0;1
Badalona;Casagemes - Canyadó;Casagemes;8911;801502004.0;1
Badalona;Casagemes - Canyadó;Casagemes;8911;801505001.0;1
Badalona;Casagemes - Canyadó;Casagemes;8915;801504002.0;1
Badalona;Casagemes - Canyadó;Manresa Badalona;8911;801505005.0;6
Badalona;Gorg  - Progrés;Congrés;8910;801507001.0;1
Badalona;Gorg  - Progrés;Congrés;8914;801507001.0;1
Badalona;Gorg  - Progrés;Congrés;8914;801509043.0;1
Badalona;Gorg  - Progrés;Congrés;8914;801509044.0;1
Badalona;Gorg  - Progrés;Congrés;8918;801509012.0;1
Badalona;Gorg  - Progrés;Gorg;8910;801503001.0;1
Badalona;Gorg  - Progrés;Gorg;8910;801503005.0;1
Badalona;Gorg  - Progrés;Gorg;8910;801503015.0;1
Badalona;Gorg  - Progrés;Gorg;8912;801503003.0;1
Badalona;Gorg  - Progrés;Gorg;8912;801507002.0;2
Badalona;Gorg  - Progrés;Gorg;8912;801507021.0;1
Badalona;Gorg  - Progrés;Gorg;8918;801509012.0;1
Badalona;Gorg  - Progrés;Progrés-Pep Ventura;8912;801503004.0;2
Badalona;Gorg  - Progrés;Progrés-Pep Ventura;8912;801503006.0;1
Badalona;Gorg  - Progrés;Progrés-Pep Ventura;8912;801503008.0;2
Badalona;Gorg  - Progrés;Progrés-Pep Ventura;8912;801503009.0;2
Badalona;Gorg  - Progrés;Progrés-Pep Ventura;8912;801503013.0;2
Badalona;Gorg  - Progrés;Progrés-Pep Ventura;8912;801507004.0;1
Badalona;Gorg  - Progrés;Progrés-Pep Ventura;8912;801507006.0;2
Badalona;Gorg  - Progrés;Progrés-Pep Ventura;8917;801502005.0;1
Badalona;La Salut - Lloreda - Sistrells;La Pau;8917;801507015.0;1
Badalona;La Salut - Lloreda - Sistrells;La Salut Badalona;8914;801507005.0;1
Badalona;La Salut - Lloreda - Sistrells;La Salut Badalona;8914;801507007.0;1
Badalona;La Salut - Lloreda - Sistrells;La Salut Badalona;8914;801507008.0;2
Badalona;La Salut - Lloreda - Sistrells;La Salut Badalona;8914;801507010.0;3
Badalona;La Salut - Lloreda - Sistrells;La Salut Badalona;8914;801507013.0;5
Badalona;La Salut - Lloreda - Sistrells;La Salut Badalona;8914;801507017.0;1
Badalona;La Salut - Lloreda - Sistrells;La Salut Badalona;8914;801507028.0;2
Badalona;La Salut - Lloreda - Sistrells;La Salut Badalona;8914;801508001.0;1
Badalona;La Salut - Lloreda - Sistrells;La Salut Badalona;8914;801509017.0;1
Badalona;La Salut - Lloreda - Sistrells;La Salut Badalona;8914;801509045.0;2
Badalona;La Salut - Lloreda - Sistrells;Lloreda;8917;801507018.0;1
Badalona;La Salut - Lloreda - Sistrells;Lloreda;8917;801508009.0;1
Badalona;La Salut - Lloreda - Sistrells;Sistrells;8917;801507011.0;2
Badalona;Llefià - Sant Roc - Artigues;Llefià;8913;801509015.0;1
Badalona;Llefià - Sant Roc - Artigues;Llefià;8913;801509019.0;1
Badalona;Llefià - Sant Roc - Artigues;Llefià;8913;801509023.0;1
Badalona;Llefià - Sant Roc - Artigues;Llefià;8913;801509025.0;7
Badalona;Llefià - Sant Roc - Artigues;Llefià;8913;801509035.0;2
Badalona;Llefià - Sant Roc - Artigues;Llefià;8913;801509052.0;1
Badalona;Llefià - Sant Roc - Artigues;Llefià;8913;801509054.0;1
Badalona;Llefià - Sant Roc - Artigues;Llefià;8914;801509017.0;3
Badalona;Llefià - Sant Roc - Artigues;Llefià;8914;801509031.0;1
Badalona;Llefià - Sant Roc - Artigues;Llefià;8914;801509044.0;1
Badalona;Llefià - Sant Roc - Artigues;Llefià;8914;801509047.0;2
Badalona;Llefià - Sant Roc - Artigues;Llefià;8918;801509001.0;1
Badalona;Llefià - Sant Roc - Artigues;Llefià;8918;801509005.0;1
Badalona;Llefià - Sant Roc - Artigues;Llefià;8918;801509038.0;1
Badalona;Llefià - Sant Roc - Artigues;Llefià;8923;801509028.0;1
Badalona;Llefià - Sant Roc - Artigues;Sant Roc;8913;801509057.0;1
Badalona;Llefià - Sant Roc - Artigues;Sant Roc;8918;801509004.0;4
Badalona;Llefià - Sant Roc - Artigues;Sant Roc;8918;801509005.0;1
Badalona;Llefià - Sant Roc - Artigues;Sant Roc;8918;801509006.0;1
Badalona;Llefià - Sant Roc - Artigues;Sant Roc;8918;801509042.0;1
Badalona;Montigalà -Sant Crist;Montigalà;8917;801504001.0;1
Badalona;Montigalà -Sant Crist;Montigalà;8917;801504014.0;1
Badalona;Montigalà -Sant Crist;Montigalà;8917;801504015.0;1
Badalona;Montigalà -Sant Crist;Montigalà;8917;801508011.0;9
Badalona;Montigalà -Sant Crist;Montigalà;8917;801508012.0;3
Badalona;Montigalà -Sant Crist;Puigfred;8914;801508008.0;10
Badalona;Montigalà -Sant Crist;Puigfred;8914;801508012.0;1
Badalona;Montigalà -Sant Crist;Sant Crist;8912;801502001.0;1
Badalona;Montigalà -Sant Crist;Sant Crist;8917;801502005.0;1
Badalona;Montigalà -Sant Crist;Sant Crist;8917;801502007.0;1
Badalona;Montigalà -Sant Crist;Sant Crist;8917;801502010.0;1
Badalona;Montigalà -Sant Crist;Sant Crist;8917;801502011.0;1
Badalona;Montigalà -Sant Crist;Sant Crist;8917;801502012.0;1
Badalona;Montigalà -Sant Crist;Sant Crist;8917;801504014.0;1
Barcelona;Ciutat Vella;El Gòtic;8001;801901019.0;3
Barcelona;Ciutat Vella;El Gòtic;8001;801901020.0;2
Barcelona;Ciutat Vella;El Gòtic;8001;801901021.0;1
Barcelona;Ciutat Vella;El Gòtic;8001;801901022.0;2
Barcelona;Ciutat Vella;El Gòtic;8001;801901028.0;1
Barcelona;Ciutat Vella;El Gòtic;8002;801901001.0;2
Barcelona;Ciutat Vella;El Gòtic;8002;801901005.0;2
Barcelona;Ciutat Vella;El Gòtic;8002;801901020.0;2
Barcelona;Ciutat Vella;El Gòtic;8002;801901022.0;5
Barcelona;Ciutat Vella;El Gòtic;8002;801901023.0;6
Barcelona;Ciutat Vella;El Gòtic;8002;801901025.0;8
Barcelona;Ciutat Vella;El Gòtic;8002;801901026.0;7
Barcelona;Ciutat Vella;El Gòtic;8002;801901027.0;13
Barcelona;Ciutat Vella;El Gòtic;8002;801901028.0;12
Barcelona;Ciutat Vella;El Gòtic;8002;801901029.0;14
Barcelona;Ciutat Vella;El Gòtic;8002;801901030.0;20
Barcelona;Ciutat Vella;El Gòtic;8002;801901031.0;15
Barcelona;Ciutat Vella;El Gòtic;8003;801901026.0;1
Barcelona;Ciutat Vella;El Gòtic;8003;801901030.0;1
Barcelona;Ciutat Vella;El Gòtic;8003;801901046.0;3
Barcelona;Ciutat Vella;El Gòtic;8003;801901047.0;1
Barcelona;Ciutat Vella;El Gòtic;8007;801902077.0;1
Barcelona;Ciutat Vella;El Gòtic;8010;801901023.0;1
Barcelona;Ciutat Vella;El Gòtic;8010;801901052.0;2
Barcelona;Ciutat Vella;El Raval;8001;801901001.0;1
Barcelona;Ciutat Vella;El Raval;8001;801901002.0;1
Barcelona;Ciutat Vella;El Raval;8001;801901003.0;2
Barcelona;Ciutat Vella;El Raval;8001;801901004.0;5
Barcelona;Ciutat Vella;El Raval;8001;801901005.0;2
Barcelona;Ciutat Vella;El Raval;8001;801901006.0;12
Barcelona;Ciutat Vella;El Raval;8001;801901007.0;2
Barcelona;Ciutat Vella;El Raval;8001;801901008.0;4
Barcelona;Ciutat Vella;El Raval;8001;801901010.0;1
Barcelona;Ciutat Vella;El Raval;8001;801901011.0;1
Barcelona;Ciutat Vella;El Raval;8001;801901012.0;2
Barcelona;Ciutat Vella;El Raval;8001;801901013.0;1
Barcelona;Ciutat Vella;El Raval;8001;801901015.0;3
Barcelona;Ciutat Vella;El Raval;8001;801901016.0;1
Barcelona;Ciutat Vella;El Raval;8001;801901017.0;2
Barcelona;Ciutat Vella;El Raval;8001;801901018.0;4
Barcelona;Ciutat Vella;El Raval;8001;801901019.0;5
Barcelona;Ciutat Vella;El Raval;8001;801901020.0;5
Barcelona;Ciutat Vella;El Raval;8001;801901021.0;2
Barcelona;Ciutat Vella;El Raval;8001;801901022.0;3
Barcelona;Ciutat Vella;El Raval;8001;801903016.0;1
Barcelona;Ciutat Vella;El Raval;8002;801901001.0;3
Barcelona;Ciutat Vella;El Raval;8002;801901005.0;3
Barcelona;Ciutat Vella;El Raval;8002;801901019.0;1
Barcelona;Ciutat Vella;El Raval;8002;801901020.0;1
Barcelona;Ciutat Vella;El Raval;8002;801901022.0;1
Barcelona;Ciutat Vella;El Raval;8002;801901028.0;2
Barcelona;Ciutat Vella;El Raval;8002;801901029.0;3
Barcelona;Ciutat Vella;El Raval;8002;801901030.0;1
Barcelona;Ciutat Vella;El Raval;8004;801902172.0;1
Barcelona;Ciutat Vella;El Raval;8011;801901016.0;1
Barcelona;Ciutat Vella;El Raval;8011;801902164.0;1
Barcelona;Ciutat Vella;El Raval;8011;801902166.0;1
Barcelona;Ciutat Vella;El Raval;8015;801902168.0;1
Barcelona;Ciutat Vella;El Raval;8015;801902169.0;1
Barcelona;Ciutat Vella;La Barceloneta;8003;801901032.0;6
Barcelona;Ciutat Vella;La Barceloneta;8003;801901033.0;3
Barcelona;Ciutat Vella;La Barceloneta;8003;801901034.0;3
Barcelona;Ciutat Vella;La Barceloneta;8003;801901036.0;5
Barcelona;Ciutat Vella;La Barceloneta;8003;801901037.0;3
Barcelona;Ciutat Vella;La Barceloneta;8003;801901039.0;4
Barcelona;Ciutat Vella;La Barceloneta;8003;801901040.0;1
Barcelona;Ciutat Vella;La Barceloneta;8003;801901041.0;1
Barcelona;Ciutat Vella;La Barceloneta;8003;801901042.0;2
Barcelona;Ciutat Vella;La Barceloneta;8003;801901043.0;1
Barcelona;Ciutat Vella;La Barceloneta;8039;801901032.0;1
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8002;801901023.0;4
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8002;801901026.0;2
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8002;801901030.0;1
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8003;801901023.0;1
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8003;801901026.0;3
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8003;801901042.0;2
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8003;801901043.0;14
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8003;801901044.0;7
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8003;801901045.0;10
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8003;801901046.0;6
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8003;801901047.0;3
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8003;801901048.0;8
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8003;801901049.0;4
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8003;801901050.0;5
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8003;801901051.0;3
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8003;801901052.0;3
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8003;801901054.0;4
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8003;801901055.0;4
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8010;801901052.0;3
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8010;801902074.0;1
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8010;801902075.0;4
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8010;801902077.0;2
Barcelona;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;8018;801901055.0;2
Barcelona;Eixample;El Fort Pienc;8003;801901052.0;1
Barcelona;Eixample;El Fort Pienc;8003;801901055.0;1
Barcelona;Eixample;El Fort Pienc;8010;801902007.0;2
Barcelona;Eixample;El Fort Pienc;8010;801902074.0;1
Barcelona;Eixample;El Fort Pienc;8013;801902003.0;1
Barcelona;Eixample;El Fort Pienc;8013;801902004.0;1
Barcelona;Eixample;El Fort Pienc;8013;801902005.0;2
Barcelona;Eixample;El Fort Pienc;8013;801902007.0;1
Barcelona;Eixample;El Fort Pienc;8013;801902008.0;5
Barcelona;Eixample;El Fort Pienc;8013;801902010.0;1
Barcelona;Eixample;El Fort Pienc;8013;801902011.0;1
Barcelona;Eixample;El Fort Pienc;8013;801902013.0;2
Barcelona;Eixample;El Fort Pienc;8013;801902016.0;3
Barcelona;Eixample;El Fort Pienc;8013;801902017.0;1
Barcelona;Eixample;El Fort Pienc;8013;801902018.0;1
Barcelona;Eixample;El Fort Pienc;8013;801902019.0;1
Barcelona;Eixample;El Fort Pienc;8013;801902020.0;1
Barcelona;Eixample;El Fort Pienc;8013;801902024.0;1
Barcelona;Eixample;El Fort Pienc;8018;801902013.0;1
Barcelona;Eixample;El Fort Pienc;8018;801902022.0;1
Barcelona;Eixample;El Fort Pienc;8018;801910046.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8006;801905065.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8006;801905067.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8007;801902079.0;3
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8007;801902081.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8007;801902090.0;2
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8007;801902091.0;5
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8008;801902083.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8008;801902084.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8008;801902085.0;2
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8008;801902088.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8011;801902089.0;2
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8011;801902090.0;5
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8011;801902091.0;3
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8011;801902092.0;7
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8011;801902093.0;3
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8011;801902094.0;4
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8011;801902095.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8011;801902096.0;8
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8011;801902097.0;2
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8011;801902098.0;2
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8011;801902099.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8011;801902100.0;2
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8011;801902139.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8011;801902163.0;3
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8011;801902164.0;3
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8013;801902092.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8013;801902095.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8021;801905059.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8021;801905061.0;2
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8025;801902085.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8029;801902108.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8029;801902109.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8029;801902110.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8029;801902117.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8029;801902118.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8029;801902119.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8036;801902084.0;5
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8036;801902085.0;6
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8036;801902086.0;4
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8036;801902087.0;3
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8036;801902088.0;3
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8036;801902089.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8036;801902098.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8036;801902100.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8036;801902101.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8036;801902102.0;2
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8036;801902103.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8036;801902105.0;6
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8036;801902107.0;2
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8036;801902108.0;1
Barcelona;Eixample;L'Antiga Esquerra de l'Eixample;8036;801902110.0;1
Barcelona;Eixample;La Dreta de l'Eixample;8001;801901021.0;1
